NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT01350297,Diaphragmatic Reinnervation of Tetraplegic Patients With Respiratory Insufficiency,https://clinicaltrials.gov/study/NCT01350297,TETRADIA-UNI,COMPLETED,This study evaluates the diaphragmatic reinnervation by inferior laryngeal nerve in tetraplegic patients with ventilatory insufficiency.,NO,Tetraplegia,PROCEDURE: reinnervation,"recovery of spontaneous ventilation, 2 years",,,"University Hospital, Rouen",,ALL,"ADULT, OLDER_ADULT",PHASE4,5,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2009/023/HP,2010-03,2013-06,2013-06,2011-05-09,,2013-06-18,"VERIN, Rouen, 76031, France",
NCT05513482,Ultrasonography Evaluation of Diaphragm Kinetics in Patients Undergoing Atrial Fibrillation Ablation With Cryoballoon,https://clinicaltrials.gov/study/NCT05513482,,RECRUITING,The purpose of this study to assess the diaphragm kinetics with Tissue Doppler Imaging in patients undergoing atrial fibrillation ablation with cryoballoon,NO,Atrial Fibrillation|Phrenic Nerve Paralysis,DIAGNOSTIC_TEST: Tissue Doppler Imaging|DIAGNOSTIC_TEST: M Mode Imaging,"Detection of subclinical phrenic nerve injury with changes in diaphragm kinetics, before and after the procedure, Unlike the traditional method, diaphragm Tissue Doppler imaging (TDI) will be used to diagnose phrenic nerve injury in patients during cryoballoon ablation. This method aims to detect the damages that may have occurred even though no visible damage has occurred. The peak contraction velocity (PCV) that has been found to be effective on weaning success will be used in TDI. The literature shows that the PCV measured by TDI in healthy humans is 1.32 ⨦ 0.39 cm/sec. Based on this, the patient's baseline and post-procedure PCVs will be compared., Preoperative baseline and postoperative first hour","The effect of subclinical diaphragm damage on morbidity, Side effects that may occur as a consequence of these will be observed in patients with subclinical diaphragm injury., Preoperative baseline and postoperative 24 hours",,Istanbul University - Cerrahpasa (IUC),,ALL,"ADULT, OLDER_ADULT",,80,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022/449352,2022-01-23,2024-01-30,2024-04-01,2022-08-24,,2023-01-31,"Istanbul University-Cerrahpasa, Istanbul, Turkey",
NCT04361006,Cryotherapy Versus Radiofrequency Ablation for Treatment of Para-hisian Accessory Pathways,https://clinicaltrials.gov/study/NCT04361006,,COMPLETED,"A randomized pilot study to evaluate safety and efficacy endpoints for treatment of para-hisian accessory pathways according to two different strategies of lesion formation.

These patients will be divided into 2 groups with different strategies of treatment: group 1 treated with radiofrequency (RF) ablation, group 2 with cryotherapy (CRYO).

The primary outcome will be the recurrence rate of accessory pathway conduction after one year of follow-up. Secondary endpoints will be immediate success and rate of permanent atrioventricular (AV) block.",NO,Cardiac Arrhythmias|Accessory Pathway|Wolf Parkinson White Syndrome,DEVICE: Radiofrequency (RF)|DEVICE: Cryotherapy (CRYO),"One-year recurrence rate, Recurrence rate of accessory pathway conduction, as assessed by follow-up Clinical recording and event monitoring external device (Holter/Looper)., One year","Immediate success rate, Mensuration of immediate success at the EP lab after ablation therapy is finished, defined by elimination of accessory pathway and/or noninducibility of arrhythmias at the end of procedure, as assessed by standard electrophysiological maneuvers.

If an evidence of accessory pathway conduction still remains at the end of procedure it will count as an unsuccessful case.

Does not take into account recurrences after the end of procedure, e.g. in the hospital ward before discharge., Time span between vein puncture (start of procedure) and sheath removal (end of procedure), comparing with baseline rhythm|Rate of atrioventricular block, Safety outcome of any permanent atrioventricular (AV) block that occurred immediately after ablation start or during hospital admission., up to 24 hours",,University of Sao Paulo General Hospital,InCor Heart Institute,ALL,"CHILD, ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,4446/16/112|U1111-1250-5793,2018-10-01,2020-02-28,2021-02-01,2020-04-24,,2023-05-19,"Arrhythmia Clinical Unit - Instituto do Coração - HCFMUSP, São Paulo, SP, 05403010, Brazil",
NCT04744493,A Clinical Trial for the Safety and Effect of MRGuided FUS Subthalamotomy for Medication Refractory Parkinson's Disease,https://clinicaltrials.gov/study/NCT04744493,,UNKNOWN,"Study design: This is a prospective, open-label, single-center, and sponsor-initiated clinical trial. The clinical trial follows the Clinical Investigation Plan, GCP. Objective: The objective of the clinical trial is to evaluate improving Parkinson's disease motor features by MR-guided focused ultrasound surgery (Patient who has less effectiveness.).",NO,Parkinson Disease,DEVICE: ExaBlate 4000,"Safety: Incidence and severity of adverse events (AE/AEs) associated with PD003J treatment of idiopathic PD from baseline until 4 months post treatment., The primary safety outcome including incidence and severity of adverse events (AE/AEs) will be assessed at 4 months. The severity of any adverse events that will be reported by patients or that will be observed during the procedure or at 4 months post treatment will be assessed. A complication or worsening of a preexisting clinical condition after the procedure will be considered to be an adverse event regardless of causality., Comfirmation from baseline until 4 months post treatment","Secondary endpoints will include MDS-UPDRS parts I, II, III, and IV at baseline, 1 month, 2 months, and 4 months post treatment., The main efficacy assessment selects MDS-UPDRS Part I, II, III, and IV III of 11 items related to tremor and movement symptom variability, and difference in score from baseline before surgery to postoperative score. The degree of improvements of 11 items will be evaluated. The primary efficacy outcome will be the difference in the change from baseline to 4 months in the MDS-UPDRS motor score for the more affected body side in the off-medication state. The unabbreviated scale title, the minimum and maximum values, and whether higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.|Levodopa equivalent medication usage (milligrams)., The following secondary data at baseline, 1month, 2 months, and 4 months post treatment will be summarized using descriptive statistics and graphical methods:

• Levodopa equivalent medication usage (milligrams) The unabbreviated scale title, the minimum and maximum values, and whether higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.|Patient and clinician Global Impression Rating Scale., The CGIC rating is made on a 7-point Likert-type scale where change from baseline is rated as marked improvement (1), moderate improvement (2), minimal improvement (3), no change (4), minimal worsening (5), moderate worsening (6), and marked worsening (7). The phisicians will evaluate the change between baseline and 3 evaluation points after treatment. The unabbreviated scale title, the minimum and maximum values, and whether higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.|Patient Satisfaction Questionnaire., The phisicians will evaluate the change between baseline and 3 evaluation points after treatment.The unabbreviated scale title, the minimum and maximum values, and whether Higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,10,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,PD003J,2019-05-31,2022-05-31,2022-07-31,2021-02-09,,2021-02-09,"Osaka University Hospital, Suita, Osaka, 5650871, Japan",
NCT04720469,A Second Magnetic Resonance Guided Focused Ultrasound Thalamotomy for Essential Tremor,https://clinicaltrials.gov/study/NCT04720469,,RECRUITING,"This study will be a single-centre, prospective, single-arm, open-label, 12-week pilot trial assessing the safety and preliminary efficacy of a second MR-guided focused ultrasound (MRgFUS) thalamotomy on the naïve brain hemisphere after 48 weeks or more of the first MRgFUS thalamotomy in patients with medication-refractory ET.

This study will be conducted at the Focused Ultrasound Centre of Excellence at Sunnybrook Health Sciences Centre/University of Toronto.",NO,Essential Tremor,DEVICE: MRgFUS thalamotomy,"Incidence at week 12 of new onset or significant worsening of: ataxic gait; speech impairment; cognitive impairment; contralateral weakness; patient-reported disabling sensory loss; Severe AEs related to the MRgFUS procedure., This composite outcome will be measured by the Scale for the Assessment and Rating of Ataxia (SARA) scale, neuropsychology battery, neurological examination and AE reports., 12 weeks","Change in the tremor score (Part A and B) from baseline to 12 weeks after MRgFUS thalamotomy, adjusted for baseline scores., This CRST subscore will be measured on the treated side., 12 weeks|Change in QUEST global score and EQ-5D from baseline to 12 weeks after MRgFUS, adjusted for baseline scores., QUEST (Quality of Life in Essential Tremor) is a disease-specific quality of life scale., 12 weeks","Change in speech intelligibility and speaking rate from baseline to 12 weeks after MRgFUS thalamotomy, adjusted for baseline scores., Speech intelligibility is measured as the percentage of intelligible words and speaking rate is measured as words per minute., 12 weeks|Change in the subscores of neuropsychological tests and self-reported questionnaires from baseline to 12 weeks after MRgFUS thalamotomy., Alternative versions of the neuropsychological tests and self-reported questionnaires of cognitive function will be used in the baseline and week 12 visit to account for a learning effect., 12 weeks",Sunnybrook Health Sciences Centre,,ALL,"ADULT, OLDER_ADULT",NA,12,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,3341,2020-10-05,2022-10-31,2023-10-31,2021-01-22,,2022-05-18,"Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada",
NCT02003248,A Feasibility Study to Evaluate Safety and Initial Effectiveness of ExAblate Transcranial MR Guided Focused Ultrasound for Unilateral Pallidotomy in the Treatment of Dyskinesia of Parkinson's Disease,https://clinicaltrials.gov/study/NCT02003248,,COMPLETED,"The proposed study is to evaluate the safety and initial effectiveness of the ExAblate Transcranial MRI-guided focused ultrasound (MRgFUS) treatment of patients with dyskinesia of Parkinson's Disease (PD)

* Safety: To evaluate the incidence and severity of adverse events (AE/AEs) associated with ExAblate Transcranial MRgFUS treatment of dyskinesia of PD
* Effectiveness: To determine the level of effectiveness of the ExAblate Transcranial MRgFUS treatment of dyskinesia of PD.Efficacy will be determined utilizing the UPDRS-IV for dyskinesia in PD from examinations at baseline and every 3-Months post-ExAblate treatment.

This study is designed as a prospective, single-site, single arm, nonrandomized study. Assessments will be made before and three months after MRgFUS for clinical symptom relief, quality of life (QoL) improvements, and safety of MRgFUS in the treatment of LID. Relative Safety will be evaluated using a common description of Significant Clinical Complications for patients treated in this study. This study will be performed on the 3T MR scanners.",NO,Levodopa Induced Dyskinesia in Patients With Parkinson's Disease,DEVICE: transcranial magnetic resonance guided focused ultrasound pallidotomy,"the unified dyskinesia rating scale (UdysRS) and UPDRS part IV, Dyskinesia will be assessed for each treated PD patient using the UDysRS and UPDRS part IV at baseline before treatment and at post-treatment intervals: 1 week, 1 month, and 3 months, 6 months and 12 months. The validated rating assessment of dyskinesia will be administered by a movement disorder neurologist or physical therapy specialist in an outpatient clinic setting. The primary measure utilized in this protocol will be a reduction in the contralateral upper extremity. Additionally, a total/overall dyskinesia score will be obtained for each patient at each time interval by summing the appendicular and axial scores., 3 months after treatment",,,Yonsei University,,ALL,"ADULT, OLDER_ADULT",PHASE1,10,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,1-2013-0051,2013-11-08,2017-05-16,2017-05-16,2013-12-06,,2019-01-24,"Department of Neurosurgery, Yonsei University College of Medicine, Seoul, 120752, Korea, Republic of",
NCT04279912,MR-Guided Focused Ultrasound (MRgFUS) for the Management of Tremor in Patients With Multiple Sclerosis,https://clinicaltrials.gov/study/NCT04279912,MSFUS001,UNKNOWN,"This study will be a single-centre, prospective, single-arm, open-label pilot trial assessing the feasibility and safety of unilateral MR-guided focused ultrasound (MRgFUS) thalamotomy for refractory hand tremor in up to 12 patients with multiple sclerosis (relapsing-remitting, primary progressive or secondary progressive MS). This study will be conducted at the Focused Ultrasound Centre of Excellence and MS Clinic located at Sunnybrook Health Sciences Centre/ University of Toronto. Patients with stable MS and refractory hand tremor providing informed consent will receive MRgFUS thermal ablation of the Vim thalamus contralateral to the most affected side of the body (frequently this will be the dominant hand).",NO,Multiple Sclerosis,DEVICE: Focused Ultrasound (MRgFUS) for the Management of Tremor in Patients With Multiple Sclerosis,"Composite safety outcome of MRgFUS thalamotomy, Composite outcome of detectable Vim lesion on MRI scan; AND lack of new-onset or worsening of contralateral upper limb sensory loss or weakness, 90 days","Incidence and severity of adverse events related to MRgFUS thalamotomy, Incidence and severity of adverse events possibly, probably or definitely related to the MRgFUS procedure at 1, 7, 30, 90 and 120 days after treatment., 1, 7, 30, 90 and 120 days|Incidence and severity of adverse events related to MS disease relapse or progression, Incidence and severity of AEs possibly, probably or definitely-related to MS disease relapse or progression (based on clinical assessment) over 30 and 90 days., 30 and 90 days|Changes from baseline in the EDSS (Expanded Disability Status Scale) scores, Changes from baseline in the EDSS scores at 30 and 90 days. This is a scale to of quantify disability in multiple sclerosis. Score: 0 to 10 with higher scores meaning worse outcome., 30 and 90 days|Changes from baseline in the SARA (Scale for Assessment and Rating of Ataxia) scores, Changes from baseline in the SARA scores at 30 and 90 days. This is a scale to of quantify function and disability related to ataxia. Score: 0 to 40 with higher scores meaning worse outcome., 30 and 90 days|Changes from baseline in the speech intelligibility (percentage of intelligible words recorded during standardized passage reading), Changes from baseline in intelligibility percentage at 30 and 90 days. Score: 0 to 100% with higher scores meaning better outcome., 30 and 90 days|Changes from baseline in QUEST (Quality of Life in Essential Tremor Questionnaire) scores, Changes from baseline in QUEST scores at 30 and 90 days. This is a 30-item scale developed specifically for patients with essential tremor to measure items impacting perceived quality of life (QOL) that generic QOL measures do not effectively capture, including activities of daily living that are affected by tremor. Higher scores mean worse outcome., 30 and 90 days|Change from baseline in the CRST (Clinical Rating Scale for Tremors), Change from baseline in the treated upper limb tremor subscore of the CRST at 30 and 90 days. Score: 0 to 32 with higher scores meaning worse outcome., 30 and 90 days|Composite safety outcome of MRgFUS thalamotomy, Composite outcome of detectable Vim lesion on MRI scan; AND lack of new-onset or worsening of contralateral upper limb sensory loss or weakness, 30 days",,Sunnybrook Health Sciences Centre,Multiple Sclerosis Society of Canada,ALL,"ADULT, OLDER_ADULT",NA,6,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DEVICE_FEASIBILITY,029-2019,2020-01-16,2021-03,2021-07,2020-02-21,,2020-02-21,"Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada",
NCT04074031,Transcranial Ultrasound Therapy of Essential Tremor,https://clinicaltrials.gov/study/NCT04074031,ULTRABRAINTher,ACTIVE_NOT_RECRUITING,"Context. Essential tremor (ET) is a common disease, disabling in severe forms and resistant to drug treatment. In patients with severe ET, invasive neurosurgical technique such as deep brain stimulation of the Ventral Intermediate (VIM) nucleus of the thalamus is used. Focused ultrasound therapy, creating a small lesion of VIM represents an effective therapeutic alternative of low morbidity with the advantage of not requiring the opening of the skull and penetration into the brain. This therapy is performed under stereotactic guidance. Validation of the target before lesioning is done by testing the clinical effect by a gradual increase in temperature, resulting in tremor reduction. However, the gradual temperature increase in the targeting phase is suboptimal because it can decrease the efficiency of the lesioning procedure. The aim of this research project is to test an innovation of fundamental physics developed by the Langevin Institute, which would allow the reversible modulation of nerve tissue by ultrasonic waves without heating, to predict the effectiveness of treatment of the chosen target within the VIM before creating an irreversible lesion.

Methodology: Fifteen patients with severe and resistant essential tremor will be included in the study. A multimodal MRI will be performed for target calculation using several targeting methods for VIM developed during step 1. For each target, the application of neuro-modulation by ultrasound will allow determine the effect obtained on the tremor (quantified with adequate clinical scales - as Tremor rating scale (CRST), and the recording of electromyographic activity of the upper limbs) and the absence of side effects. A definitive millimetric lesion will be performed at the level of the most relevant target in order to maintain the clinical effect obtained. The procedure will be controlled by thermal MRI sequences. Post-therapy clinical and MRI multimodal follow-up will take place on D1, D7, M1, M2, M3, M6, M12 and M24.

Perspectives and Innovation: This project will test clinically the low intensity ultrasound neuromodulation jointly developed by the Langevin Institute and the Brain and Spine Institute ( ICM) in order to refine the targeting procedure of high intensity transcranial focused ultrasound therapy. In perspective, reversible neuromodulation performed in vivo in humans represents a considerable advance in the exploration and future treatment of neurological and psychiatric diseases such as depression. The translational collaboration between the physicists of the Langevin Institute, the ICM and the medical services of the Pitié-Salpêtrière guarantees the feasibility and quality of this first joint therapeutic trial.",NO,Essential Tremor,DEVICE: Transcranial Ultrasound Therapy (Exablate® 4000 Type 1.1),"The main objective is to evaluate the efficacy of Vim lesion produced by transcranial focused ultrasound on contralateral upper limb tremor at the 3-month procedure., The primary endpoint is the reduction of the severity of essential tremor measured by the clinical assessment of contralateral upper limb tremor at the lesion quantified by CRST A and B at V5 (3 months) compared with V1., 3 MONTHS","Interest of neuromodulation effect for the prediction of the final clinical effect, Interest of neuromodulation in the change of the initially defined target in calculating how many times the target has been changed compared to the reference method and therefore the relevance of the neuromodulation effect for the prediction of the final clinical effect at 3 and 12 months on tremor of the upper limb controlateral to the lesion, 3 MONTHS|Adverse events, The number of adverse events reported or observed between inclusion and the 24th month post-procedure. These events will be collected at all visits from V2 to V8. These events will be classified as sever and non-sever events. They will also be classified as events attributable to the procedure by the medical device, attributable to the lesion or independent of both according to the assumed pathophysiology of the effect., 24 MONTHS",,Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",NA,15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,APHP190407,2020-01-07,2023-01-10,2024-10-04,2019-08-29,,2024-01-25,"Hôpital Pitié Salpétrière, Paris, 75013, France",
NCT04728295,Evaluation of the Safety and Effectiveness of Bilateral Exablate Ablation of the Pallidothalamic Tract (PTT) for the Treatment of the Motor Complications of Parkinson's Disease (PD),https://clinicaltrials.gov/study/NCT04728295,,ACTIVE_NOT_RECRUITING,Evaluate the Safety and Effectiveness of Staged Bilateral Exablate Ablation of the Pallidothalamic Tract (PTT) for the Treatment of the Motor Complications of Parkinson's Disease (PD).,NO,Parkinson Disease,DEVICE: Exablate 4000,"MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part III OFF Medication, OFF-medication, Upper + Lower Extremity motor score from the MDS-UPDRS Part III comparing Month 3 post Bilateral treatment to Baseline. Lower score on the scale means a better outcome., Up to Month 3 post Bilateral Treatment","MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part II, MDS-UPDRS Part II - Activities of Daily living comparing all Bilateral scheduled visits to Baseline. Lower score on the scale means a better outcome., Up to Month 12 post Bilateral Treatment","MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part III OFF Medication, OFF-medication, Upper + Lower Extremity motor score from the MDS-UPDRS Part III comparing all visits post Bilateral treatment to Baseline. Lower score on the scale means a better outcome., Up to Month 12 post Bilateral Treatment|MDS-Unified Parkinson's Disease Rating Scale (UPDRS) Part IV, MDS-UPDRS Part IV at all Bilateral visits comparing all visits post Bilateral treatment to Baseline. Lower score on the scale means a better outcome., Up to Month 12 post Bilateral Treatment",InSightec,,ALL,"ADULT, OLDER_ADULT",NA,50,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,PD014,2021-05-14,2023-04-01,2024-04-01,2021-01-28,,2022-07-12,"Stanford, Palo Alto, California, 94304, United States|Delray Medical Center, Delray Beach, Florida, 33484, United States|Rush University Medical Center, Chicago, Illinois, 60612, United States|University of Maryland, Baltimore, Baltimore, Maryland, 21201, United States|New York University Langone, New York, New York, 10016, United States|Weill Cornell Medicine, New York, New York, 10065, United States|Neurology, Hospital Universitario HM Puerta del Sur (HM CINAC), Madrid, Spain|Clínica Universidad de Navarra, Pamplona, Spain|Chang Bing Show Chwan Memorial Hospital, Lugang, Changhua County, Taiwan",
NCT04501484,Bilateral Essential Tremor Treatment With FUS,https://clinicaltrials.gov/study/NCT04501484,BEST-FUS,RECRUITING,"Combined Phase II/III, multi-center, prospective, single-blinded trial.

Ten (10) patients with who previously underwent successful and uncomplicated MRgFUS thalamotomy for essential tremor will undergo a contralateral treatment. The incidence of side effects will be determined at 1 and 3 months postoperatively, graded per the CTCAE v5 and analyzed by a data safety monitoring board. Upon successful review, this Phase II trial will be converted to a Phase III trial of utility that will enrol 40 additional patients. The primary outcome will be the change in QUEST score at 12 months postoperatively, as well as a patient-reported assessment of Health Utility. Secondary outcomes will include objective tremor, gait and speech assessments (filmed and scored by blinded evaluators), as well as quality of life questionnaires and adverse events questionnaires. Outcomes will be assessed immediately after the procedure, as well as 1, 3, 12, 24 and 36 months post-operatively.",NO,Essential Tremor,PROCEDURE: Magnetic Resonance-guided Focused Ultrasound VIM Thalamotomy,"Change in QUEST Score, Difference in QUEST score between baseline and the 12-month follow-up, with statistical significance defined as p = 0.05 and a minimum clinically important difference (MCID) defined as 5, 12 months|Patient-based Assessment of Utility, A patient-reported assessment of utility after 12 months using the question ""Knowing what you know now, would you do this treatment again?""., 12 months","Gait Assessment (NRS-11), Patient-reported and blinded observer rating of the patient's ability to walk (Numerical rating scale (NRS-11) from 0 to 10, with 10 being best), Immediately after surgery, post operative month 1, 3, 12, 24, 36|Gait Assessment (missteps), Number of missteps in a 6 m standardized tandem walk, Immediately after surgery, post operative month 1, 3, 12, 24, 36|Falls, Number of falls in last month, Post operative month 1, 3, 12, 24, 36|Speech Assessment (NRS-11), Patient-reported and blinded observer rating of the patient's ability to speak (Numerical rating scale (NRS-11) from 0 to 10, with 10 being best), Immediately after surgery, post operative month 1, 3, 12, 24, 36|Numbness, Incidence of new-onset numbness, Immediately after surgery, post operative month 1, 3, 12, 24, 36|Dysgeusia, Incidence of taste alterations, Immediately after surgery, post operative month 1, 3, 12, 24, 36|Other adverse events, Incidence of other adverse events as classified in the CTCAE, Immediately after surgery, post operative month 1, 3, 12, 24, 36|Tremor (CRST), Assessment of tremor using the Clinical Rating Scale for Tremor (CRST) parts A (0-88) and B (0-36), higher scores correspond to a worse tremor)., Immediately after surgery, post operative month 1, 3, 12, 24, 36|Quality of life (QUEST), QUality of life in ESsential Tremor (QUEST) questionnaire (0-100%, higher scores correspond to a worse quality of life), Post operative month 1, 3, 12, 24, 36|Quality of life (CRST part C), Part C of the Clinical Rating Scale for Tremor (CRST) (0-32, higher scores correspond to a worse quality of life), Post operative month 1, 3, 12, 24, 36|Health Utility (EQ-5D-5L), Health Utility measured using the EQ-5D-5L and computed using the Canadian preference weights. Values range from 0 to 1, with 1 representing a perfect health., Post operative month 1, 3, 12, 24, 36",,"University Health Network, Toronto",Université de Sherbrooke,ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,20-5172,2020-07-08,2024-10,2024-10,2020-08-06,,2022-05-17,"Toronto Western Hospital, University Health Network, Toronto, Ontario, M5T 2S8, Canada",
