NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05022147,Enhancing Gait Using Alternating-Frequency DBS in Parkinson Disease,https://clinicaltrials.gov/study/NCT05022147,ENGAGE-PD,RECRUITING,"The purpose of this study is to assess how alternating-frequency Deep Brain Stimulation (DBS) works to improve postural instability and gait, while also treating other motor symptoms of Parkinson Disease (PD).",NO,"Parkinson Disease|Gait Disorders, Neurologic|Disease Progression|Subthalamic Nucleus|Accidental Fall|Deep Brain Stimulation","DEVICE: High-Frequency-Only Stimulation|DEVICE: Low-Frequency-Only Stimulation|DEVICE: Alternating, 50 sec High-Frequency, 10 sec Low-Frequency Stimulation|DEVICE: Alternating, 50 sec High-Frequency, 50 sec Low-Frequency Stimulation|DEVICE: Alternating, 10 sec High-Frequency, 50 sec Low-Frequency Stimulation|DEVICE: Alternating, 10 sec High-Frequency, 10 sec Low-Frequency Stimulation|DRUG: OFF Dopaminergic Medication|DRUG: ON Dopaminergic Medication","Stride Time Coefficient of Variation, Marker of gait instability, derived from kinematic recordings from body-worn wireless sensors., During the intervention|Percentage of Time with Tremor Present, Marker of tremor severity, derived from kinematic recordings from body-worn wireless sensors., During the intervention|Tremor Amplitude, Marker of tremor severity, derived from kinematic recordings from body-worn wireless sensors., During the intervention","Total Freezing Time, Marker of gait instability, derived from kinematic recordings from body-worn wireless sensors., During the intervention|Freezing Index, Marker of gait instability, derived from kinematic recordings from body-worn wireless sensors., During the intervention|Gait Velocity, Marker of bradykinesia, derived from kinematic recordings from body-worn wireless sensors., During the intervention|Step Cadence, Marker of bradykinesia, derived from kinematic recordings from body-worn wireless sensors., During the intervention|LFP and EEG power spectrum correlation with behavior and kinematics, Neural recordings (LFP = Local Field Potential and EEG = Electroencephalogram) from the DBS electrode and from EEG electrodes will be analyzed in the frequency domain. Assessed frequency bands will include delta, theta, alpha, beta, and gamma activity. These will be correlated with behavior and kinematic recordings to determine the neural correlates of gait instability and other parkinsonian symptoms., During the intervention|LFP and EEG connectivity correlation with behavior and kinematics, Neural recordings (LFP = Local Field Potential and EEG = Electroencephalogram) consist of multiple channels of simultaneously measured electrical activity. Connectivity is a measure of correlations between each pair of recorded and postprocessed channels, at each frequency band, over time. A machine learning algorithm will be trained to correlate the connectivity to behavior and kinematic recordings, to determine the neural correlates of gait instability and other parkinsonian symptoms., During the intervention",,James Liao,,ALL,"ADULT, OLDER_ADULT",PHASE1,12,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,21-739,2021-10-04,2024-07,2024-07,2021-08-26,,2023-08-01,"Cleveland Clinic Foundation, Cleveland, Ohio, 44195, United States",
NCT02012647,Subthalamic Deep Brain Stimulation (DBS) in Parkinson's Disease,https://clinicaltrials.gov/study/NCT02012647,,COMPLETED,"The purpose of this study is to examine the brain changes in people with Parkinson's Disease (PD) after they get deep brain stimulation (DBS) surgery, compared with people who do not have Parkinson's Disease. Treatment of Parkinson's disease is often difficult and challenging. Deep brain stimulation is an established surgical treatment that is effective for the treatment of PD, but the details of why it helps are not known. In order to achieve maximum benefits from this treatment, it is important to understand how it changes the brain. Specifically, the investigators will study electrophysiology, which is the study of how the brain conducts electrical messages to the rest of the body. To do this, the investigators will use transcranial magnetic stimulation (TMS), which is a painless and non-invasive procedure. They will also conduct motor physiology experiments of the upper and lower limbs to collect data about skeletal muscle movement. The data from this study will help explain whether the electrical changes in the brain have any relation to the physical benefits patients with Parkinson's Disease sometimes receive from DBS surgery.",NO,Parkinson's Disease,PROCEDURE: Transcranial Magnetic Stimulation (TMS)|PROCEDURE: Motor Physiology Testing,"Motor Cortex Excitability, We will measure Motor Cortex Excitability by examining circuitries of inhibition found in the motor cortex which have a reduced function in Parkinson's Disease., As few as 1 days and up to 4 months","Relation between Unified Parkinson's Disease Rating Scale outcomes and physiological measures, The Unified Parkinson's Disease Rating Scale (UPDRS) is used by neurologists to rate the motor impairment of people with Parkinson's Disease. The rater obtains the score by observation and questioning the participant. Higher scores represent greater impairment and scores range from 0-108.

The data collected from the UPDRS will be compared to physiological data collected with EMG during limb movement tasks. These tasks are used to gather data about skeletal muscle movements. The EMG data will be evaluated individually with an EMG paradigm considering velocity of movement and both antagonist and agonist burst patterns., As few as 2 days and up to 4 months|Transcallosal Pathway Excitability, The investigators will examine the effects of unilateral and bilateral stimulation on the excitability of transcallosal pathway, using specific parameters of Transcranial Magnetic Stimulation (TMS)., As few as 2 days and up to 4 months|Physiological Measures, Physiological data will be collected from healthy controls with EMG during limb movement tasks. These tasks are used to gather data about skeletal muscle movements. The EMG data will be evaluated individually with an EMG paradigm considering velocity of movement and both antagonist and agonist burst patterns., One day",,University of Florida,,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,4,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,21-2013|40115065-2,2013-08,2016-03,2016-06,2013-12-16,,2020-09-09,"University of Florida, Gainesville, Florida, 32607, United States",
NCT00885222,Antidepressant Effect of Deep Brain Stimulation in Parkinson's Disease Patients,https://clinicaltrials.gov/study/NCT00885222,,COMPLETED,"The purpose of this study is:

1. To determine, in the context of a prospective clinical trial, whether stimulation parameters in PD patients treated with DBS, are associated with antidepressant effects.
2. To determine whether these antidepressant effects are related to or independent of changes in the motor features of PD.
3. To establish a computerized database that includes stimulation parameters and clinical parameters in PD patients treated with DBS.
4. To develop a computer-assisted decision making protocol for programming of DBS parameters in both depressed and non-depressed PD patients.",NO,Parkinson's Disease|Major Depressive Disorder,DEVICE: DBS parameters setting,"The primary outcome measure of the study will be the stimulation parameters of patients who fulfill criteria for MDD at the inception of trial and manifest remission (HAM-D21 score <7) after 4 months (or less) of DBS treatment., 18 months","Secondary outcome measures will be the relationship between improvement in mental status (as measured by HAM-21, BDI, CGI, HAM-A, BPRS and PDQ39) and change in PD symptoms (as measured by UPDRS)., 18 months",,Hadassah Medical Organization,,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: |Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,Eitan-DBS-PD-MDD-HMO-CTIL,2009-05,2010-05,2010-05,2009-04-21,,2010-06-03,"Hadassah Medical Organization, Jerusalem, 91120, Israel",
NCT02894567,Evaluation of Directional Recording and Stimulation Using spiderSTN,https://clinicaltrials.gov/study/NCT02894567,,TERMINATED,"The purpose of this study is to provide proof-of-concept that directional stimulation and directional recording, in an intraoperative setting, is perceivable in a subject. The tests will be performed using a dedicated intraoperative lead connected to an external neuro-recorder/stimulator, during a deep brain stimulation implantation surgery.",NO,Parkinson's Disease|Essential Tremor,DEVICE: Intraoperative test during a deep brain stimulation surgery,"Measurement of the delivered electrical current at which a sustained side effect occurs, and compare the results from specific angular directions, This will be performed by independently stimulating electrodes which are oriented in different directions on the same spiderSTN lead, and assessing the patient's response., up to one hour during surgery","Measurement of the electrical current created by the neuronal activity coming from specific directions, and compare the results., To assess the recording capabilities of the spiderSTN lead by correlating the results obtained from the neurologist's visual, real-time interpretation of the recorded neuronal activity, to a post-processing analysis of the actual signal recorded., up to one hour during surgery|Electrical functionality of the study device during the test phase, The electrical integrity of the device will be measured before and after the test phase, to confirm that it was functional throughout the test phase., 1 day",,Aleva Neurotherapeutics SA,,ALL,"ADULT, OLDER_ADULT",NA,6,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,KEK 272-15|CIV-16-02-014704,2016-09,2017-02,2017-02,2016-09-09,,2017-07-02,"Inselspital, Bern, 3030, Switzerland",
NCT03984643,Algorithms for Programming DBS Systems for ET,https://clinicaltrials.gov/study/NCT03984643,,RECRUITING,"Deep brain stimulation (DBS) targeting the Vim thalamus (ventralis intermedius nucleus) is an FDA-approved neuromodulation therapy for treating postural and action tremor in individuals with essential tremor (ET). The success of this treatment, however, is highly dependent on the ability of clinicians to identify therapeutic stimulation settings through a laborious programming process. There is a strong and growing clinical need for new approaches to provide clinicians with more efficient guidance on how to titrate stimulation settings. This study will leverage subject-specific computational models that can predict neural activation of axonal pathways adjacent to the active electrode(s) and implicated in the therapeutic mechanisms of Vim-DBS to in turn guide clinicians with which stimulation settings are likely to be the most therapeutic on tremor.",NO,Essential Tremor,DEVICE: Vim-Deep Brain Stimulation,"Therapeutic Windows, Quantify how therapeutic windows (i.e. stimulus amplitude threshold difference between postural and action tremor abolishment and side effect emergence) change over time with human Vim-DBS therapy. During routine clinical evaluation sessions, monopolar stimulation will be applied through each electrode to generate therapeutic window maps and quantify the degree to which stimulus amplitude thresholds for action and postural tremor abolishment and for generating side effects of stimulation (e.g. transient paresthesias) change., 24-months|Objective Measures of Tremor, Quantify tasks contained in the Essential Tremor Rating Assessment Scale (TETRAS) scoring system. Inertial measurement units (IMUs) will be attached to the limbs and head of the subject to measure tremor while the subject performs tasks associated with the TETRAS scoring scale. The Archimedes spiral task contained in the TETRAS will be quantified by using a digitizing tablet., 24-months|Quality of Life Questionnaire: QUEST, The Quality of life in Essential Tremor Questionnaire (QUEST) questionnaire consists of 30 items that are rated from 0 (never) to 4 (always), corresponding to the frequency with which tremor is perceived to impact function or to be associated with various feelings and attitudes. The 30 items contribute to five sub scales:

Physical/ADL, Psychosocial, Communication, Hobbies/Leisure, and Work/Finances. Each sub scale score is expressed as a percentage of the total score possible, with a higher score indicating greater dissatisfaction with that domain. Total score is computed by calculating the mean of the five sub scale scores. Higher score indicates greater disability., 24-months|Quality of Life Questionnaire: TETRAS, The Essential Tremor Rating Assessment Scale (TETRAS) quantifies the impact of essential tremor (ET) on activities of daily living (ADL) and a performance battery. The ADL section consists of 12 items rating the impact of ET on daily activity, each rated 0 (normal) to 4 (severe), with a maximum subscale score of 48. The performance section has 9 items rating action tremor in different areas of the body from 0 (normal) to 4 (severe), with a maximum subscale score of 64. Total score is an unweighted sum of the two subscale scores. Greater total score indicates worse functioning due to ET., 24-months",,,University of Minnesota,,ALL,"ADULT, OLDER_ADULT",NA,25,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,CSENG-2018-27182,2019-10-01,2024-12-31,2025-12-31,2019-06-13,,2023-08-02,"University of Minnesota, Minneapolis, Minnesota, 55455, United States",
NCT04390867,Temporally Optimized Patterned Stimulation (TOPS®) Deep Brain Stimulation (DBS) for the Treatment of Parkinson's Disease,https://clinicaltrials.gov/study/NCT04390867,TOPS,TERMINATED,"This study will test newly developed stimulation settings called Temporally Optimized Patterned Stimulation or TOPS, which can be used with an already implanted deep brain stimulation system. The purpose of this study is to determine if TOPS DBS can improve Parkinson's symptoms compared to Standard DBS.",NO,Parkinson Disease,DEVICE: TOPS1 DBS|DEVICE: TOPS2 DBS|DEVICE: TOPS3 DBS|DEVICE: Standard DBS,"Movement Disorders Society-Unified Parkinson's Disease Rating Scale Part III Motor score - Off medication/On DBS, Average difference between the best TOPS and Standard. The MDS-UPDRS Part III is the sum of 33 scores evaluating a set of Parkinson's disease motor symptoms on a scale from 0 to 4 points. A score of 0 indicates no symptom is present and a maximum score of 4 indicates the most severe symptom. The total scale range is 0-132, where higher scores indicate more severe symptoms., After 1 week treatment period using each pattern|Study related adverse device effects, Reported AEs, After 1 week treatment period using TOPS1|Study related adverse device effects, Reported AEs, After 1 week treatment period using TOPS2|Study related adverse device effects, Reported AEs, After 1 week treatment period using TOPS3|Study related adverse device effects, Reported AEs, After 1 week treatment period using Standard","Home Use ""On Time"", Home use Parkinson's disease motor symptom diary recording On Time without dyskinesia, On Time with non-troublesome dyskinesia, On Time with troublesome dyskinesia, Off Time, and Asleep Time. Average ""On Time"" difference between the best TOPS and Standard, During 1 week treatment period using each pattern|Patient Global Impression of Improvement Rating, Average difference in PGII between the best TOPS and Standard. Improvement is scored on a scale of 1 - 7 where 1 is Very Much Improved and 7 is Very Much Worse, After 1 week treatment period using each pattern|Parkinson's Medication Use, Parkinson's medication usage recorded in home use medication diary. Average difference between the best TOPS and Standard, During 1 week treatment period using each pattern|Rest Tremor - Off medication/On DBS, Measured using Kinesia One system. Average difference between the best TOPS and Standard, After 1 week treatment period using each pattern|Postural Tremor - Off medication/On DBS, Measured using Kinesia One system. Average difference between the best TOPS and Standard., After 1 week treatment period using each pattern|Bradykinesia - Off medication/On DBS, Measured using Kinesia One system. Average difference between the best TOPS and Standard., After 1 week treatment period using each pattern|Type and severity of side effects of stimulation, Proportion of participants experiencing side effects recorded in home use motor symptom diary and clinic. Average difference between the best TOPS and Standard, During 1 week treatment period using each pattern|Movement Disorders Society-Unified Parkinson's Disease Rating Scale Part III Motor score - On medication/On DBS, Average difference between the best TOPS and Standard. The MDS-UPDRS Part III is the sum of 33 scores evaluating a set of Parkinson's disease motor symptoms on a scale from 0 to 4 points. A score of 0 indicates no symptom is present and a maximum score of 4 indicates the most severe symptom. The total scale range is 0-132, where higher scores indicate more severe symptoms., After 1 week treatment period using each pattern|Clinical Global Impression of Improvement Rating, Average difference in CGII score between the best TOPS and Standard. Improvement is scored on a scale of 1 - 7 where 1 is Very Much Improved and 7 is Very Much Worse, After 1 week treatment period using each pattern|Test Pattern Use Count, For each pattern, the number of subjects who go home with it and use it for the entire test period (\~7-14 days) will be counted to evaluate if any patterns are more or less likely to be skipped, After 1 week treatment period using each pattern",,Deep Brain Innovations LLC,,ALL,"ADULT, OLDER_ADULT",NA,6,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",0152,2020-07-27,2022-02-02,2022-02-08,2020-05-18,,2022-06-27,"University of Florida, Gainesville, Florida, 32608, United States|Northwestern University, Chicago, Illinois, 60611, United States|Duke University, Durham, North Carolina, 27705, United States",
NCT06205043,Algorithm Guided DBS Programming in Parkinson's Patients,https://clinicaltrials.gov/study/NCT06205043,,RECRUITING,Patients undergoing Deep Brain Stimulation for Parkinson's disease will be subjected to standard of care programming and compared with the algorithm based programming (StimSearch). Various parameters including the effectivity and efficiency of algorithm programming will be compared against the standard of care programming.,NO,Parkinson Disease,DEVICE: StimSearch programming algorithm software|DEVICE: Clinician based programming,"Comparison of efficacy between StimSearchTM-based programming and the best Standard of Care (SOC) based programming., Unified Parkinson's disease rating scale scores (part III) will be used to evaluate this. Range (0-132) The lower the score indicates lesser severity of the disease and improved outcome., 4 weeks|Comparison of time required between StimSearch and SOC programming, Total time in minutes will recorded, 4 weeks","Comparison of volume of tissue activated (VTA) between StimSearch and SOC, The volume of tissue activated in cubic millimeter will be calculated., 4 weeks|Comparison of target volume between StimSearch and SOC, The target volume in cubic millimeter will be calculated., 4 weeks",,Jaslok Hospital and Research Centre,Boston Scientific Corporation,ALL,"CHILD, ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",Stimulation Search,2024-01-10,2024-02,2025-06,2024-01-12,,2024-01-12,"Jaslok Hospital And Research Centre, Mumbai, Maharashtra, 400026, India",
NCT02763397,Deep Brain Stimulation (DBS) of the Nucleus Basalis of Meynert (NbM) in Patients With Parkinson's Disease,https://clinicaltrials.gov/study/NCT02763397,,UNKNOWN,"The existing DBS setting in patients with DBS of the globus pallidus interna (GPi), which aims to treat motor symptoms by a high-frequency stimulation, will be temporarily reprogramed to stimulate the NbM at a low frequency using the distal electrodes positioned in the vicinity of the NBM.

This study aims to investigate the neuropsychological effect of low frequency stimulation of the nucleus basalis of Meynert (NBM) in advanced Parkinson's disease (PD) patients, who were previously treated with deep brain stimulation (DBS) of the globus pallidus interna (GPi).",NO,Cognitive Deficit,DEVICE: NBM-DBS|DEVICE: DBS,"Changes in global cognitive function measured by the Scales for Outcomes in Parkinson's disease-Cognition (SCOPA-COG), 2 weeks of the crossover trial phase","Changes of Unified Parkinson's Disease Rating Scale (UPDRS) part 3, 3 days of the screening phase|Changes of the power of background EEG frequencies, 2 weeks of the crossover trial phase|Score changes of stroop test, 2 weeks of the crossover trial phase|Score changes of the Trail Making test, 2 weeks of the crossover trial phase|Score changes of the digit span test of Wechsler Adult Intelligence Scale III, 2 weeks of the crossover trial phase|Score changes of the symbol digit modality test (SDMT), 2 weeks of the crossover trial phase|Score changes of the Hospital Anxiety and Depression Scale, 2 weeks of the crossover trial phase|Score changes of the Apathy Evaluation Scale, 2 weeks of the crossover trial phase",,University Medical Center Groningen,,ALL,"CHILD, ADULT, OLDER_ADULT",NA,13,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,NL 57011.042.16,2016-05,2016-12,,2016-05-05,,2016-05-05,,
NCT04563143,Novel Paradigms of Deep Brain Stimulation for Movement Disorders,https://clinicaltrials.gov/study/NCT04563143,,COMPLETED,"Investigators will enroll patients who are already selected to undergo deep brain stimulation surgery based on standard of care. The surgical implantation of the leads will be based on standard of care and will be completed with FDA-approved leads that are routinely used at Cleveland Clinic. The pulse generators (i.e. the battery) will also be standard. The research will characterize spontaneous and task-related changes in brain activity recorded from these regions alone and in relation to novel paradigms / settings of stimulation to learn how such paradigms impact both the symptoms of patients with Parkinson's disease and the underlying neural activity of the target brain region. Of particular interest is to learn if the novel paradigms of stimulation will have a lower impact on cognitive function than current settings of stimulation.To date, current DBS settings are continuous. That is, stimulation runs at approximately 200 pulses per second, all day long, day and night.

The novel settings that investigators will study are part of a translational pipeline at Cleveland Clinic. Dr. Ken Baker and Dr. Machado are partners in the lab and in clinical research. Dr. Baker has completed preclinical research that has shown that it is possible to achieve excellent relief of parkinsonian symptoms with intermittent types of stimulation known as coordinated reset. In other words, Dr Baker found that using a lower dose of stimulation in an intermittent fashion can maintain the same level of symptom control. Furthermore, a lower dose of stimulation could have less effects on cognitive symptoms.

In order to test these novel paradigms of stimulation, investigators will study patients immediately after DBS and over time. The immediate research will be done starting on the third day after implantation of the DBS lead(s), having the systems externalized for nine days. The long-term research will be conducted with patients already fully implanted and healed from surgery. In addition to evaluating for motor and cognitive tasks using computer based assessments, investigators will utilize non-invasive electrophysiological measures including EEG, EMG, MEG, and wearable accelerometer/gyroscopes to better characterize the effects of stimulation settings.",NO,Parkinson Disease,OTHER: Novel DBS Stimulation,"Upper extremity motor speed, Patients will complete arm movements in response to cues presented on a computer. The speed of movements will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|Verbal Fluency, Change in the number words that patients generate to letter or semantic category cues will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9","Cognitive Reaction Time, Subjects will complete one or more measures of cognitive processing requiring speeded responses to stimuli. Changes in reaction time will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|EEG - sensorimotor evoked potentials, Sensory and motor-locked activity at scalp and deep brain stimulation electrodes will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|EEG - Oscillatory activity, Power in standard frequency bands at both scalp and DBS electrodes will be examined with the patient at rest and compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|EMG, Electromyography will be recorded in response to active and passive movement and latency and amplitude will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|fMRI - Bold response, Pattern of fMRI activity will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|MEG, Pattern of magnetoencephalogram activity will be compared between novel and therapeutic stimulation, Post operative externalization days 1 through 9|Movement Disorders Society Unified Parkinson Disease Rating Scale - III, Gold standard clinician rating scale of Parkinson's symptoms will be compared between novel and therapeutic stimulation, 6 months after DBS surgery",,The Cleveland Clinic,Farmer Foundation,ALL,"ADULT, OLDER_ADULT",NA,16,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,19-1637,2020-01-17,2023-09-07,2023-09-07,2020-09-24,,2023-10-03,"Cleveland Clinic, Cleveland, Ohio, 44195, United States",
NCT05752656,"Short- and Long-term Behavioral, Cognitive and Motor Outcomes of Frameless Deep Brain Stimulation in Patients With Parkinson's Disease: a Prospective Observational Study",https://clinicaltrials.gov/study/NCT05752656,,RECRUITING,The main objective of the study is to evaluate the improvement in quality of life after deep brain stimulation surgery with frameless technique by comparing the PDQ-39 scale score at baseline (before surgery) and one year after surgery.,NO,Parkinson Disease,OTHER: Clinical examinations,"Improvement of quality of life, Evaluation of the PDQ-39 scale score at baseline (before surgery) and one year after surgery., One year",,,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,ALL,"ADULT, OLDER_ADULT",,100,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,4578,2022-01-12,2023-12-01,2034-01-01,2023-03-03,,2023-03-03,"Flavia Torlizzi, Rome, 00168, Italy",
