NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02692183,Mapping Functional Networks of Brain Activity Using EEG in Patients With Essential Tremor or Parkinson Disease Before and After MR-guided Focused Ultrasound Thalamotomy for Tremor,https://clinicaltrials.gov/study/NCT02692183,,UNKNOWN,"A cornerstone in PD and ET research is the investigation of neurophysiological changes as potential bio-markers that could help in tracking disease progression and response to therapy. Electroencephalography (EEG) could provide a non-invasive and relatively inexpensive tool for identification of such bio-markers. In this study the investigators will use high-density electroencephalographic (EEG) recordings, in order to develop a platform of sensitive and reliable bio-markers for disease progression and response to MR-guided Focused ultrasound thalamotomy (FUS-T) intervention for tremor.",NO,Parkinson Disease-tremor|Essential Tremor,,"EEG/ ERP recordings, EEG/ERP: Quantitative EEG based on 64 channel acquisition will be performed during the stimulation treatment to search for discriminatory markers of response to stimulation. Sessions will initially comprise a series of both task (evoked potentials/event-related potentials (ERPs, to be determined) and rest states. The task state will principally be evaluated for brain network analysis (BNA, ElMindA, Israel)., 2 years","computerized gait analysis, Another optional monitoring procedure is a computerized gait analysis of the Mon4t system (iPhone4, Apple®, Cupertino, California, USA): In order to capture the subject position and motion the investigators will use a standard smartphone. Gait will be assessed by the use of a set of wearable accelerometers, gyroscopes and magnetometers which are all included into the smartphone., 2 years",,Sheba Medical Center,ElMindA Ltd|InSightec,ALL,"CHILD, ADULT, OLDER_ADULT",,100,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,SHEBA-SH-2805-15-CTIL,2016-02,2018-01,2019-01,2016-02-25,,2016-02-25,,
NCT03560622,Functional Neuroimaging Feedback for Focused Ultrasound Thalamotomy,https://clinicaltrials.gov/study/NCT03560622,,ACTIVE_NOT_RECRUITING,"Focused ultrasound for Essential Tremor is an FDA approved treatment performed by neurosurgeons at the Ohio State Center for Neuromodulation that utilizes ultrasound technology to create a lesion in the thalamus of Essential Tremor patients. In order to improve long term effectiveness and reduce potential for side effects, brain imaging may be used to examine the functional connectivity of certain brain networks during the procedure. In order to investigate functional connectivity changes with these long term goals in mind, in this study neuroimaging will be taken immediately before, immediately after, and 24 hours after the focused ultrasound procedure for 10 Essential Tremor patients. One series of neuroimaging will also be conducted for 20 healthy control subjects to serve as a comparison. This study will not introduce any risks above standard of care, and may lead to improved long term outcomes of patients undergoing the Focused Ultrasound procedure.",NO,Essential Tremor,DEVICE: multi-modality neuroimaging,"connectivity correlates of tremor (CCT), CCT will be calculated by analyzing and comparing functional connectivity in the tremor network in ET patients and healthy controls. The fMRI data will be acquired in two separate conditions: t-fMRI and rs-fMRI. Both t-fMRI and rs-MRI will be calculated based upon functional connectivity between the dentate nucleus, ventral intermediate nucleus, globus pallidus, motor and premotor cortex sensitivity analysis will then be performed to determine an optimal value of CCT to distinguish ET patients from controls., during the surgical procedure","changes in functional connectivity, 2. To study changes in functional connectivity in the tremor network before, immediate postoperative and and 24-hours after FUS-T in ET patients.

1. The CCT will be calculated and compared between baseline, immediate postoperative and 24-hours post-operative conditions to determine the effect of FUS-T. For this sub-aim the connectivity data will be separately analyzed for t-fMRI and for rs-fMRI.
2. The CCT in immediate postoperative and 24-hours post-operative condition among ET patients will be compared to healthy controls to determine whether FUS-T restored the abnormal connectivity in tremor network. For this sub-aim the connectivity data will be separately analyzed for t-fMRI and rs-fMRI., immediately post-operative and 24-hours after surgery for ET patients",,Vibhor Krishna,National Institutes of Health (NIH)|Focused Ultrasound Foundation,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018H0035,2018-09-01,2021-12-31,2021-12-31,2018-06-18,,2021-02-24,"The Ohio State Medical Center, Columbus, Ohio, 43210, United States",
NCT03981055,Parkinson's Disease: Enhancing Physical Therapy With Brain Stimulation for Treating Postural Instability.,https://clinicaltrials.gov/study/NCT03981055,,RECRUITING,"This trial aims to understand the mechanism and to test whether transcranial direct current stimulation (tDCS) combined with transcranial ultrasound (TUS) (tDCS+TUS) combined with physical therapy (PT) will induce significant therapeutic effects in postural instability in Parkinson's disease (PT) patients. The investigators designed a double-blinded, placebo controlled, randomized study to investigate the effects of 2 weeks of TDCS+TUS on postural instability in PD patients receiving PT. (Followed by biweekly sessions for 2 more weeks in Phase II)",NO,Parkinson Disease,DEVICE: Active Comparator: Active tDCS and Active TUS|DEVICE: Sham Comparator: Sham TDCS and Sham TUS|OTHER: Physical Therapy,"Change in postural sway, Postural sway will be assessed through biomechanical assessments using a set of integrated sensors including accelerometers, gyroscopes, force sensors, and motion-capture cameras., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups","Unified Parkinson's Disease Rating Scale (UPDRS), Motor function (including tremor, bradykinesia, postural instability and gait), non-motor symptoms, activities of daily living and complications of therapy will be investigated per UPDRS (parts I-IV); staging of PD and ability to perform activities of daily living will also be investigated via UPDRS parts V and VI. We already have experience using this assessment in several previous brain stimulation PD studies., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Leg Agility, kinematic changes will be assessed with kinematic metrics (e.g., speed (m/s)) taken with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Arising from a chair, kinematic changes will be assessed with kinematic metrics (e.g., time to complete task) taken with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Balance, kinematic changes will be assessed with kinematic metrics taken during a modified Romberg exam (e.g., change in center of pressure over a fixed time interval (cm)) with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Gait, changes in the walking speed, gait asymmetry, stride length, walking smoothness, and gait freezing kinematic characteristics (e.g., m/s) will be assessed with a biomechanical assessment suite throughout the study, 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Toe tapping, kinematic changes will be assessed with kinematic metrics (e.g., speed (m/s)) taken with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups",,Spaulding Rehabilitation Hospital,"Highland Instruments, Inc.",ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2018P002733,2020-01-23,2024-08-01,2024-12-30,2019-06-10,,2023-12-18,"Spaulding Rehabilitation Network Research Institute, Charlestown, Massachusetts, 02129, United States",
NCT01827904,ExAblate Transcranial MR Guided Focused Ultrasound for the Treatment of Essential Tremors,https://clinicaltrials.gov/study/NCT01827904,,UNKNOWN,"The objective of this prospective, randomized, double-blind (to subjects, local site's blinded assessor and Tremor Core Lab assessors), crossover, multi-site, two-arm study (ExAblate treated arm Vs ExAblate Sham treated control arm) is to test the efficacy of treatment using the ExAblate Transcranial System and to further demonstrate safety in medication-refractory tremor in subjects with essential tremor (ET).",NO,Essential Tremor,DEVICE: Transcranial ExAblate|DEVICE: Sham Transcranial ExAblate,"Primary Efficacy Outcome, The treated upper limb CRST subscore (CRST A + B) applicable to upper limb in the ExAblate Group will be statistically better than the Sham control Group at Month 3, Participants will be followed from the date of treatment until study completion, approximately up to 12 months|Severity of Device and Procedure related complications, To evaluate the incidence and severity of adverse events (AEs) associated with the ExAblate Transcranial thalamotomy of medication-refractory Essential Tremor related to the ExAblate treatment, At the time of ExAblate Transcranial thalamotomy procedure","Clinical Rating Scale for Tremor Part C Score, 1. Subject daily functionalities: as measured by CRST Part-C (subscales) Month 12 as compared to Baseline, and between treatment groups through Month 3
2. Durability (as measured by QUEST upper arm extremity questions) of the procedure as reflected by the efficacy data through change from baseline measures through Month 12 follow up
3. Quality life claims: Questionnaire for Essential Tremor (QUEST) outcome (upper extremity questions) at Months 3 change from Baseline.as compared between treatment groups, Participants will be followed from the date of treatment until study completion, approximately up to 12 months",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,72,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",ET002,2013-05,2022-12,2022-12,2013-04-10,,2022-03-31,"Stanford University Medical Center, Stanford, California, 94305, United States|University of Maryland Medical System, Baltimore, Maryland, 21201, United States|Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States|University of Virginia, Charlottesville, Virginia, 22908, United States|Swedish Medical Center, Seattle, Washington, 98122, United States|Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada|Tokyo Women's Medical University (TWMU), Tokyo, 162-8666, Japan|Yonsei University Medical Center, Seoul, 120-752, Korea, Republic of",
NCT03253991,A Study to Evaluate the Effectiveness and Safety of ExAblate MRgFUS on Essential Tremor,https://clinicaltrials.gov/study/NCT03253991,,TERMINATED,"A Study to Evaluate the Effectiveness and Safety of ExAblate Transcranial MRgFUS Thalamotomy Treatment of Medication Refractory Essential Tremor Subjects

The objective of this prospective, single-arm study is to test the efficacy of treatment using the ExAblate Transcranial System and to further demonstrate safety in medication-refractory tremor inpatients with essential tremor (ET).

The Indications for Use claim for this system is as follows: Treatment of medication-refractory tremor in patients with essential tremor.",NO,Essential Tremor,DEVICE: MRgFUS treatment,"Safety - Will be determined evaluating incidence and severity of device related complications from first treatment day visit through all follow ups. Relative Safety will be evaluated describing Significant Clinical Complications for patients treated., All AEs will be reported and categorized by investigators as definitely, probably, possibly, or unrelated to the device or procedure and categorized by treatment group / treatment arm. Relative Safety will be evaluated using a common description of Significant Clinical Complications for patients treated in this study., 1 year|Effectiveness - Will be evaluated using the Clinical Rating Scale for Tremors (CRST) for ET subjects. Comparison will be performed from examinations at baseline and 3-Months post-ExAblate treatment., Assessments of efficacy endpoints will compare the three months after ExAblate treatment to Baseline measurements for clinical symptom relief., 5 Years",,,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,154,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ET002J,2014-11-17,2023-02-02,2023-02-02,2017-08-18,,2023-04-20,"Chinese PLA General Hospital, Beijing, Beijing, 100853, China|Henan Provincial People's Hospital, Zhengzhou, Henan, 450003, China|Sadamoto Hospital, Ehime, 790-0052, Japan|Shonan Fujisawa Tokushukai Hospital, Fujisawa, 2510041, Japan|Hokkaido Ohno Memorial Hospital, Hokkaido, 063-0052, Japan|Hokuto, Hokkaido, 080-0833, Japan|Ohanishi Noerological Center, Hyōgo, 6740064, Japan|Kumagaya General Hospital, Kumagaya, 360-8567, Japan|Department of Neurosurgery, Osaka University Hospital, Osaka, 565-0871, Japan|Tokyo Women's Medical University Hospital, Tokyo, 62-8666, Japan|Chang Bing Show Chwan Memorial Hospital, Chang Hua, 505, Taiwan",
NCT01932463,ExAblate (Magnetic Resonance-guided Focused Ultrasound Surgery) for Treatment of Tremor,https://clinicaltrials.gov/study/NCT01932463,,COMPLETED,A feasibility Study to Evaluate Safety and Initial Effectiveness of ExAblate Transcranial MR Guided Focused Ultrasound for Unilateral Thalamotomy in the Treatment of Tremor,NO,Tremor|Essential Tremor,DEVICE: ExAblate Transcranial System,"Accuracy of Thalamotomy lesion, Comparison of the stereotactic coordinates of the atlas to the lesion created in the brain., 1 day",,,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,6,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,MD002,2011-05,2012-12,2013-07,2013-08-30,,2013-08-30,"Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada",
NCT04744493,A Clinical Trial for the Safety and Effect of MRGuided FUS Subthalamotomy for Medication Refractory Parkinson's Disease,https://clinicaltrials.gov/study/NCT04744493,,UNKNOWN,"Study design: This is a prospective, open-label, single-center, and sponsor-initiated clinical trial. The clinical trial follows the Clinical Investigation Plan, GCP. Objective: The objective of the clinical trial is to evaluate improving Parkinson's disease motor features by MR-guided focused ultrasound surgery (Patient who has less effectiveness.).",NO,Parkinson Disease,DEVICE: ExaBlate 4000,"Safety: Incidence and severity of adverse events (AE/AEs) associated with PD003J treatment of idiopathic PD from baseline until 4 months post treatment., The primary safety outcome including incidence and severity of adverse events (AE/AEs) will be assessed at 4 months. The severity of any adverse events that will be reported by patients or that will be observed during the procedure or at 4 months post treatment will be assessed. A complication or worsening of a preexisting clinical condition after the procedure will be considered to be an adverse event regardless of causality., Comfirmation from baseline until 4 months post treatment","Secondary endpoints will include MDS-UPDRS parts I, II, III, and IV at baseline, 1 month, 2 months, and 4 months post treatment., The main efficacy assessment selects MDS-UPDRS Part I, II, III, and IV III of 11 items related to tremor and movement symptom variability, and difference in score from baseline before surgery to postoperative score. The degree of improvements of 11 items will be evaluated. The primary efficacy outcome will be the difference in the change from baseline to 4 months in the MDS-UPDRS motor score for the more affected body side in the off-medication state. The unabbreviated scale title, the minimum and maximum values, and whether higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.|Levodopa equivalent medication usage (milligrams)., The following secondary data at baseline, 1month, 2 months, and 4 months post treatment will be summarized using descriptive statistics and graphical methods:

• Levodopa equivalent medication usage (milligrams) The unabbreviated scale title, the minimum and maximum values, and whether higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.|Patient and clinician Global Impression Rating Scale., The CGIC rating is made on a 7-point Likert-type scale where change from baseline is rated as marked improvement (1), moderate improvement (2), minimal improvement (3), no change (4), minimal worsening (5), moderate worsening (6), and marked worsening (7). The phisicians will evaluate the change between baseline and 3 evaluation points after treatment. The unabbreviated scale title, the minimum and maximum values, and whether higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.|Patient Satisfaction Questionnaire., The phisicians will evaluate the change between baseline and 3 evaluation points after treatment.The unabbreviated scale title, the minimum and maximum values, and whether Higher scores mean a better or worse outcome will not be established for reporting outcome as efficacy., Comparison between baseline, 1month, 2 months, and 4 months post treatment.",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,10,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,PD003J,2019-05-31,2022-05-31,2022-07-31,2021-02-09,,2021-02-09,"Osaka University Hospital, Suita, Osaka, 5650871, Japan",
NCT03300193,The Effect of Lesion Characteristics in MRgFUS on Tremor in Essential Tremor and Parkinson's Disease,https://clinicaltrials.gov/study/NCT03300193,MRgFUS,COMPLETED,The study will investigate Essential Tremor and Parkinson's Disease patients who underwent Magnetic Resonance guided Focused Ultrasound Surgery (MRgFUS). We will evaluate the effect of lesion characteristics on tremor and on quality of life after the procedure as compared with the baseline prior to the procedure.,NO,Tremor,,"Clinical Rating Scale for Tremor, Tremor score: In ET patients - Clinical Rating Scale for Tremor (CRST), 3 MONTHS|Motor part of Unified PD Rating Scale, In PD patients - Motor part of Unified PD Rating Scale (UPDRS), 3 MONTHS","Quality of Life Essential Tremor Questionnaire, Quality of life: Quality of Life Essential Tremor Questionnaire (QUEST), 3 MONTHS|Parkinson's Disease Questionnaire, Parkinson's Disease Questionnaire (PDQ39), 3 MONTHS|iSeismometer application, For all patients: iSeismometer application for mobile phone for Assessment of tremor amplitude and frequency before and after the procedure., 3 MONTHS","adverse events of the MRgFUS, Assessment of adverse events of the MRgFUS, 3 MONTHS|assessment of the location of lesion on MRI, assessment of the location of the lesion in post procedure MRI, 3 MONTHS|Size of the lesion on MRI, volume in mm3 of lesion in post procedure MRI, 3 MONTHS|Surrounding edema on MRI, volume in mm3 of edema in post procedure MRI, 3 MONTHS",Rambam Health Care Campus,,ALL,"ADULT, OLDER_ADULT",,23,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,0162-15-RMB,2016-05,2017-05-31,2017-05-31,2017-10-03,,2017-10-03,,
NCT01772693,ExAblate Transcranial MR Guided Focused Ultrasound for the Treatment of Parkinson's Disease,https://clinicaltrials.gov/study/NCT01772693,,COMPLETED,"This is a feasibility study to evaluate the safety and initial effectiveness of unilateral ExAblate thermal ablation of the Vim thalamic nucleus of subjects suffering from medication-refractory, idiopathic, tremor-dominant PD, using the ExAblate Transcranial system compared to a Sham Vim thalamotomy procedure.

Data will be collected to establish the basic safety of this type of treatment as the basis for later studies that will evaluate its full clinical efficacy. The Sham treatment data will be used to evaluate placebo effect from treatment.",YES,Parkinson's Disease,DEVICE: ExAblate Transcranial MRgFUS|DEVICE: Sham ExAblate Transcranial MRgFUS,"Number of Adverse Events, Evaluate of adverse events (AEs) associated with the ExAblate Transcranial thalamotomy of medication-refractory, tremor-dominant PD during the ExAblate treatment.

Primary safety analyses are reported in the adverse events module., Month 3","Tremor Motor Score Percent Change From Baseline., The percent change from baseline to Month 3 follow-up in upper extremity Tremor-Motor scores for the treated side is a sub-scale of Clinical Rating Scale for Tremor (CRST) Part A and Part B sum that was used to measure treated-side upper extremity tremor changes over time. Tremor-motor scores range from 0-32 points. Individual subject's scores at Baseline and 3 Months were used to calculate percent change from baseline and averaged across subjects. High percent change from baseline is better (shows improvement)., Baseline, Month 3|Tremor Motor Scores - Clinical Rating Scale for Tremor - Treated Side Upper Extremity Parts A & B., Upper extremity Tremor-Motor score for the treated side is a sub-scale of Clinical Rating Scale for Tremor (CRST) Part A and Part B sum that measures treated-side upper extremity tremor changes over time. Tremor-motor scores range from 0-32 points for each side with lower scores being a better outcome. Subject's Tremor-Motor scores for the test and sham control groups were averaged at each study visit., Baseline, Month 3, Month 12|Functional Disabilities - Clinical Rating Scale for Tremor Part C - Functional Disabilities, The Clinical Rating Scale for Tremor (CRST) Part C is a measure of functional disability due to tremor. The Clinical Rating Scale for Tremor Part C consists of 8 items each scored from 0 to 4. Thus, the total score summed ranges from 0 to 32 and provides an overall assessment of activities of daily living. Low scores on the Clinical Rating Scale for Tremor (CRST) Part C are better. Low scores show improvement in functional disabilities compared to higher scores., Baseline, Month 3, Month 12",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,27,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",PD001,2012-09,2016-04-26,2019-03,2013-01-21,2020-07-23,2020-10-09,"University of Virginia, Charlottesville, Virginia, 22908, United States|Swedish Medical Center, Seattle, Washington, 98122, United States",
NCT02037217,ExAblate Transcranial MR Guided Focused Ultrasound in the Treatment of Essential Tremor,https://clinicaltrials.gov/study/NCT02037217,,COMPLETED,"A feasibility Study to Evaluate Safety and Initial Effectiveness of ExAblate Transcranial MRI-guided focused ultrasound (MRgFUS) treatment of patients with medication-refractory movement disorders, namely Essential Tremor (ET).

This study is designed as a prospective, single site, single arm, nonrandomized study. Assessments will be made before and three months after MRgFUS for clinical symptom relief, quality of life (QoL) improvements, and safety of MRgFUS in the treatment of ET. Similarly, QoL measures will be obtained using Quality of Life in Essential Tremor (QUEST) questionnaire. Relative Safety will be evaluated using a common description of Significant Clinical Complications for patients treated in this study. This study will be performed on the 3T MR scanners.

The ExAblate system is a medical device that involves a focused ultrasound system and an MRI scanner. ExAblate delivers a pulse of focused ultrasound energy, or sonication, to the targeted tissue. In this particular study the targeted tissue is a unilateral thermal lesion created in the ventralis intermedius nucleus of the thalamus.

The treatment begins with a series of standard diagnostic MR images to identify the location and shape of tumor to be treated. The ExAblate computer uses the physician's designation of the target volume to plan the best way to cover the target volume with small spots called ""sonications"". These treatment spots are cylinder shaped. Their size depends on sonication power and duration. During the treatment, a specific MR scan, which can be processed to identify changes in tissue temperature, provides a thermal map of the treatment volume to confirm the therapeutic effect. The thermal map is used to monitor the treatment in progress, and confirm that the ablation is proceeding according to plan, thus closing the therapy loop.

The ExAblate transcranial operates a helmet-shaped transducer (currently utilizing 1000-element phased array transducer) positioned above the subject head. The ExAblate transcranial system also includes means to immobilize the subject head, cool the interface water, and software for CT analysis and phase correction computation.

The ExAblate transcranial system is an experimental device and is being investigated in this study.",NO,Essential Tremor,DEVICE: ExAblate Transcranial MRgFUS System,"Device or procedure related Adverse Events reported, Safety of the ExAblate transcranial treatment will be determined by an evaluation of the incidence and severity of device and procedure related complications from the first / treatment day visit through the 3-Months post-treatment time point. All AEs will be reported and categorized by investigators as definitely, probably, possibly, or unrelated to the device, procedure, or post-surgical changes in neurological status. Alternative treatments resulting from post-surgical changes in neurological status will be reported., 3 Months","Tremor rating scales: the Clinical Rating Scale for Tremors, Primary effectiveness will be evaluated using validated, tremor rating scales: the Clinical Rating Scale for Tremors (CRST) for ET patients, based upon patients in whom unilateral ExAblate lesioning is attempted (i.e., Intent-to-Treat analysis). Efficacy is defined as a reduction in contralateral symptoms at 3-months post-treatment., 3 Month",,InSightec,,ALL,"ADULT, OLDER_ADULT",PHASE1,10,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ET001K,2011-02,2014-01,2014-01,2014-01-15,,2016-03-08,"Yonsei University Medical Center, Seoul, 120-752, Korea, Republic of",
