NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT01019343,Physiological Investigations of Movement Disorders,https://clinicaltrials.gov/study/NCT01019343,,COMPLETED,"Background:

* Previous studies have given researchers information on how the brain controls movement, how people learn to make fine, skilled movements, and why some people have movement disorders. However, further research is needed to learn more about the causes of most movement disorders, such as Parkinson's disease.
* By using small, specialized studies to evaluate people with movement disorders and compare them with healthy volunteers, researchers hope to learn more about the changes in the brain and possible causes of movement disorders.

Objectives:

* To better understand how the brain controls movement.
* To learn more about movement disorders.
* To train movement disorder specialists.

Eligibility:

* Individuals 18 years of age or older who have had a movement disorder diagnosed by a neurologist and are able to participate based on the specific requirements of the small study.
* Healthy volunteers 18 years of age or older.

Design:

* Participants will have a screening visit with medical history, physical examination, and questionnaire to determine eligibility. Eligible participants will give consent to participate in up to seven additional outpatient visits for study procedures. The number of sessions and the procedures needed for participation depend on specific symptoms.
* Participants must avoid drinking alcohol or caffeinated drinks (sodas, coffee, and tea) for at least 2 days (48 hours) before each session.
* Potential studies may include magnetic resonance imaging (MRI) scans, functional MRI scans, electroencephalography, magnetoencephalography, transcranial magnetic stimulation, nerve and sensory stimulation, or movement and mental tasks during any of the above procedures.
* This study does not provide treatment for movement disorders. Participants will not have to stop any treatment in order to participate.",NO,Parkinson's Disease|Tourette's Syndrome|Tic Disorders|Dystonia|Movement Disorders,"PROCEDURE: Transcranial Direct Current Stimulation (tDCS)|DEVICE: Eye-tracking Device|DEVICE: Pulsed vibrator|OTHER: Gait Trainer Treadmill (GTT)|OTHER: Standard psychiatric scales SCID-I, YBOCS and SCI-OBS-lifetime and cognitive scales MMSE and MOCA|DEVICE: iMobility|DEVICE: QMAT|DIAGNOSTIC_TEST: Treadmill Test|DEVICE: Arm Intellistretch Device|PROCEDURE: Transcranial Sonography (TCS)|OTHER: Behavioral tasks|PROCEDURE: TMS single/paired pulse|PROCEDURE: MEG|PROCEDURE: EEG|PROCEDURE: MRI techniques|PROCEDURE: Peripheral Nerve Stimulation|PROCEDURE: EMG|PROCEDURE: Trancutaneous spinal direct current stimulation (tsDCS)","MRI, analyze measures such as the amplitude of the BOLD signal (fMRI); tractography between seed and target regions of interest (using DTI); morphometry of brain regions (using VBM); and different neurotransmitter levels in brain regions of interest (using MRS)., throughout|EEG and MEG, quantify measures such as event- or task-related potentials, synchronization/desynchronization, and coherence between sensors or sources located close to the brain areas of interest., throughout|TMS, analyze measures such as MEP amplitude and central conduction time., throughout|Behavioral measures, quantify measures such as reaction times to initiate movements, EMG patterns, movement kinematics (position, velocity, acceleration, curvature), eye movement., throughout",,,National Institute of Neurological Disorders and Stroke (NINDS),,ALL,"ADULT, OLDER_ADULT",NA,1273,NIH,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,100009|10-N-0009,2009-12-08,2016-08-17,2020-10-09,2009-11-25,,2024-01-22,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States",
NCT04970745,Application of Tremor Analysis in Parkinson's Disease and Its Related Diseases,https://clinicaltrials.gov/study/NCT04970745,,COMPLETED,"This is a longitudinal study to evaluate the brainstem of patients at different stages through VEMP neck, masticatory muscle and eye tests on patients with early and middle-advanced PD (20 cases each) and healthy controls (40 cases) The function of various parts is affected. At the same time, combining the patient's neurological function score and non-motor symptom score to find evidence of early involvement and early intervention.",NO,Parkinson Disease,OTHER: Transcranial parenchymal color Doppler ultrasound (TCS)|OTHER: Electromyography (EMG) tremor analysis,"nigrostriatal echogenic area, using the Transcranial parenchymal color Doppler ultrasound (TCS) to trace the nigrostriatal echogenic area, 1 week after enrollment|Electromyography (EMG) tremor analysis, EMG frequency, 1 week after enrollment|Electromyography (EMG) tremor analysis, EMG amplitude (amplitude), 1 week after enrollment",,,Peking University Third Hospital,,ALL,"ADULT, OLDER_ADULT",,120,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,M2018222,2018-01-01,2019-06-30,2019-08-01,2021-07-21,,2021-07-21,"Peking University Third Hospital, Beijing, China",
NCT03981055,Parkinson's Disease: Enhancing Physical Therapy With Brain Stimulation for Treating Postural Instability.,https://clinicaltrials.gov/study/NCT03981055,,RECRUITING,"This trial aims to understand the mechanism and to test whether transcranial direct current stimulation (tDCS) combined with transcranial ultrasound (TUS) (tDCS+TUS) combined with physical therapy (PT) will induce significant therapeutic effects in postural instability in Parkinson's disease (PT) patients. The investigators designed a double-blinded, placebo controlled, randomized study to investigate the effects of 2 weeks of TDCS+TUS on postural instability in PD patients receiving PT. (Followed by biweekly sessions for 2 more weeks in Phase II)",NO,Parkinson Disease,DEVICE: Active Comparator: Active tDCS and Active TUS|DEVICE: Sham Comparator: Sham TDCS and Sham TUS|OTHER: Physical Therapy,"Change in postural sway, Postural sway will be assessed through biomechanical assessments using a set of integrated sensors including accelerometers, gyroscopes, force sensors, and motion-capture cameras., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups","Unified Parkinson's Disease Rating Scale (UPDRS), Motor function (including tremor, bradykinesia, postural instability and gait), non-motor symptoms, activities of daily living and complications of therapy will be investigated per UPDRS (parts I-IV); staging of PD and ability to perform activities of daily living will also be investigated via UPDRS parts V and VI. We already have experience using this assessment in several previous brain stimulation PD studies., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Leg Agility, kinematic changes will be assessed with kinematic metrics (e.g., speed (m/s)) taken with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Arising from a chair, kinematic changes will be assessed with kinematic metrics (e.g., time to complete task) taken with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Balance, kinematic changes will be assessed with kinematic metrics taken during a modified Romberg exam (e.g., change in center of pressure over a fixed time interval (cm)) with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Gait, changes in the walking speed, gait asymmetry, stride length, walking smoothness, and gait freezing kinematic characteristics (e.g., m/s) will be assessed with a biomechanical assessment suite throughout the study, 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups|Toe tapping, kinematic changes will be assessed with kinematic metrics (e.g., speed (m/s)) taken with a biomechanical assessment suite throughout the study., 1 week pre intervention, immediately before intervention, following stimulation treatment (stimulation day 5, 10 and 14), and all follow ups",,Spaulding Rehabilitation Hospital,"Highland Instruments, Inc.",ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2018P002733,2020-01-23,2024-08-01,2024-12-30,2019-06-10,,2023-12-18,"Spaulding Rehabilitation Network Research Institute, Charlestown, Massachusetts, 02129, United States",
NCT01827904,ExAblate Transcranial MR Guided Focused Ultrasound for the Treatment of Essential Tremors,https://clinicaltrials.gov/study/NCT01827904,,UNKNOWN,"The objective of this prospective, randomized, double-blind (to subjects, local site's blinded assessor and Tremor Core Lab assessors), crossover, multi-site, two-arm study (ExAblate treated arm Vs ExAblate Sham treated control arm) is to test the efficacy of treatment using the ExAblate Transcranial System and to further demonstrate safety in medication-refractory tremor in subjects with essential tremor (ET).",NO,Essential Tremor,DEVICE: Transcranial ExAblate|DEVICE: Sham Transcranial ExAblate,"Primary Efficacy Outcome, The treated upper limb CRST subscore (CRST A + B) applicable to upper limb in the ExAblate Group will be statistically better than the Sham control Group at Month 3, Participants will be followed from the date of treatment until study completion, approximately up to 12 months|Severity of Device and Procedure related complications, To evaluate the incidence and severity of adverse events (AEs) associated with the ExAblate Transcranial thalamotomy of medication-refractory Essential Tremor related to the ExAblate treatment, At the time of ExAblate Transcranial thalamotomy procedure","Clinical Rating Scale for Tremor Part C Score, 1. Subject daily functionalities: as measured by CRST Part-C (subscales) Month 12 as compared to Baseline, and between treatment groups through Month 3
2. Durability (as measured by QUEST upper arm extremity questions) of the procedure as reflected by the efficacy data through change from baseline measures through Month 12 follow up
3. Quality life claims: Questionnaire for Essential Tremor (QUEST) outcome (upper extremity questions) at Months 3 change from Baseline.as compared between treatment groups, Participants will be followed from the date of treatment until study completion, approximately up to 12 months",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,72,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",ET002,2013-05,2022-12,2022-12,2013-04-10,,2022-03-31,"Stanford University Medical Center, Stanford, California, 94305, United States|University of Maryland Medical System, Baltimore, Maryland, 21201, United States|Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States|University of Virginia, Charlottesville, Virginia, 22908, United States|Swedish Medical Center, Seattle, Washington, 98122, United States|Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada|Tokyo Women's Medical University (TWMU), Tokyo, 162-8666, Japan|Yonsei University Medical Center, Seoul, 120-752, Korea, Republic of",
NCT01932463,ExAblate (Magnetic Resonance-guided Focused Ultrasound Surgery) for Treatment of Tremor,https://clinicaltrials.gov/study/NCT01932463,,COMPLETED,A feasibility Study to Evaluate Safety and Initial Effectiveness of ExAblate Transcranial MR Guided Focused Ultrasound for Unilateral Thalamotomy in the Treatment of Tremor,NO,Tremor|Essential Tremor,DEVICE: ExAblate Transcranial System,"Accuracy of Thalamotomy lesion, Comparison of the stereotactic coordinates of the atlas to the lesion created in the brain., 1 day",,,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,6,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,MD002,2011-05,2012-12,2013-07,2013-08-30,,2013-08-30,"Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada",
NCT01772693,ExAblate Transcranial MR Guided Focused Ultrasound for the Treatment of Parkinson's Disease,https://clinicaltrials.gov/study/NCT01772693,,COMPLETED,"This is a feasibility study to evaluate the safety and initial effectiveness of unilateral ExAblate thermal ablation of the Vim thalamic nucleus of subjects suffering from medication-refractory, idiopathic, tremor-dominant PD, using the ExAblate Transcranial system compared to a Sham Vim thalamotomy procedure.

Data will be collected to establish the basic safety of this type of treatment as the basis for later studies that will evaluate its full clinical efficacy. The Sham treatment data will be used to evaluate placebo effect from treatment.",YES,Parkinson's Disease,DEVICE: ExAblate Transcranial MRgFUS|DEVICE: Sham ExAblate Transcranial MRgFUS,"Number of Adverse Events, Evaluate of adverse events (AEs) associated with the ExAblate Transcranial thalamotomy of medication-refractory, tremor-dominant PD during the ExAblate treatment.

Primary safety analyses are reported in the adverse events module., Month 3","Tremor Motor Score Percent Change From Baseline., The percent change from baseline to Month 3 follow-up in upper extremity Tremor-Motor scores for the treated side is a sub-scale of Clinical Rating Scale for Tremor (CRST) Part A and Part B sum that was used to measure treated-side upper extremity tremor changes over time. Tremor-motor scores range from 0-32 points. Individual subject's scores at Baseline and 3 Months were used to calculate percent change from baseline and averaged across subjects. High percent change from baseline is better (shows improvement)., Baseline, Month 3|Tremor Motor Scores - Clinical Rating Scale for Tremor - Treated Side Upper Extremity Parts A & B., Upper extremity Tremor-Motor score for the treated side is a sub-scale of Clinical Rating Scale for Tremor (CRST) Part A and Part B sum that measures treated-side upper extremity tremor changes over time. Tremor-motor scores range from 0-32 points for each side with lower scores being a better outcome. Subject's Tremor-Motor scores for the test and sham control groups were averaged at each study visit., Baseline, Month 3, Month 12|Functional Disabilities - Clinical Rating Scale for Tremor Part C - Functional Disabilities, The Clinical Rating Scale for Tremor (CRST) Part C is a measure of functional disability due to tremor. The Clinical Rating Scale for Tremor Part C consists of 8 items each scored from 0 to 4. Thus, the total score summed ranges from 0 to 32 and provides an overall assessment of activities of daily living. Low scores on the Clinical Rating Scale for Tremor (CRST) Part C are better. Low scores show improvement in functional disabilities compared to higher scores., Baseline, Month 3, Month 12",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,27,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",PD001,2012-09,2016-04-26,2019-03,2013-01-21,2020-07-23,2020-10-09,"University of Virginia, Charlottesville, Virginia, 22908, United States|Swedish Medical Center, Seattle, Washington, 98122, United States",
NCT02037217,ExAblate Transcranial MR Guided Focused Ultrasound in the Treatment of Essential Tremor,https://clinicaltrials.gov/study/NCT02037217,,COMPLETED,"A feasibility Study to Evaluate Safety and Initial Effectiveness of ExAblate Transcranial MRI-guided focused ultrasound (MRgFUS) treatment of patients with medication-refractory movement disorders, namely Essential Tremor (ET).

This study is designed as a prospective, single site, single arm, nonrandomized study. Assessments will be made before and three months after MRgFUS for clinical symptom relief, quality of life (QoL) improvements, and safety of MRgFUS in the treatment of ET. Similarly, QoL measures will be obtained using Quality of Life in Essential Tremor (QUEST) questionnaire. Relative Safety will be evaluated using a common description of Significant Clinical Complications for patients treated in this study. This study will be performed on the 3T MR scanners.

The ExAblate system is a medical device that involves a focused ultrasound system and an MRI scanner. ExAblate delivers a pulse of focused ultrasound energy, or sonication, to the targeted tissue. In this particular study the targeted tissue is a unilateral thermal lesion created in the ventralis intermedius nucleus of the thalamus.

The treatment begins with a series of standard diagnostic MR images to identify the location and shape of tumor to be treated. The ExAblate computer uses the physician's designation of the target volume to plan the best way to cover the target volume with small spots called ""sonications"". These treatment spots are cylinder shaped. Their size depends on sonication power and duration. During the treatment, a specific MR scan, which can be processed to identify changes in tissue temperature, provides a thermal map of the treatment volume to confirm the therapeutic effect. The thermal map is used to monitor the treatment in progress, and confirm that the ablation is proceeding according to plan, thus closing the therapy loop.

The ExAblate transcranial operates a helmet-shaped transducer (currently utilizing 1000-element phased array transducer) positioned above the subject head. The ExAblate transcranial system also includes means to immobilize the subject head, cool the interface water, and software for CT analysis and phase correction computation.

The ExAblate transcranial system is an experimental device and is being investigated in this study.",NO,Essential Tremor,DEVICE: ExAblate Transcranial MRgFUS System,"Device or procedure related Adverse Events reported, Safety of the ExAblate transcranial treatment will be determined by an evaluation of the incidence and severity of device and procedure related complications from the first / treatment day visit through the 3-Months post-treatment time point. All AEs will be reported and categorized by investigators as definitely, probably, possibly, or unrelated to the device, procedure, or post-surgical changes in neurological status. Alternative treatments resulting from post-surgical changes in neurological status will be reported., 3 Months","Tremor rating scales: the Clinical Rating Scale for Tremors, Primary effectiveness will be evaluated using validated, tremor rating scales: the Clinical Rating Scale for Tremors (CRST) for ET patients, based upon patients in whom unilateral ExAblate lesioning is attempted (i.e., Intent-to-Treat analysis). Efficacy is defined as a reduction in contralateral symptoms at 3-months post-treatment., 3 Month",,InSightec,,ALL,"ADULT, OLDER_ADULT",PHASE1,10,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,ET001K,2011-02,2014-01,2014-01,2014-01-15,,2016-03-08,"Yonsei University Medical Center, Seoul, 120-752, Korea, Republic of",
NCT01446939,Imaging in the Diagnosis of Parkinson's Disease and Essential Tremor,https://clinicaltrials.gov/study/NCT01446939,,UNKNOWN,"Parkinson´s disease (PD) diagnosis is based upon clinical examination. Although imaging has helped doctors to identify many diseases, it still does not add too much information for the diagnosis of Parkinson´s disease. The investigators are going to perform a large sample study including PD patients, essential tremor and healthy volunteers in order to evaluate if MRI can help in the diagnosis. Our hypothesis is that fractional anisotropy (FA) in the caudal portion of substantia nigra is decreased in PD patients.",NO,Parkinson's Disease|Essential Tremor,,"Fractional anisotropy (FA) in the caudal portion of substantia nigra, Fractional anisotropy (FA) in the caudal portion of substantia nigra., baseline (MRI study date)","Comparison between MRI and ultrasonography, Comparison between MRI and ultrasonography in the accuracy of diagnosis through ROC curves, baseline (Date of ultrasonography)",,Hospital Israelita Albert Einstein,University of Sao Paulo,ALL,"ADULT, OLDER_ADULT",,150,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,IIEP1436-11|CAPPESQ8197,2012-10,2014-02,2014-07,2011-10-05,,2012-10-29,"Faculdade de Medicina da Universidade de São Paulo, São Paulo, 05403001, Brazil|Hospital Israelita Albert Einstein, São Paulo, 05652901, Brazil",
NCT02912871,Subthalamotomy by ExAblate Transcranial System to Treat Motor Features of Parkinson's Disease,https://clinicaltrials.gov/study/NCT02912871,,COMPLETED,"Based on published animal and human studies, ExAblate Transcranial subthalamotomy can be as safe and as effective as any of the surgical treatments within the currently accepted standard of care including radiofrequency lesioning and Deep Brain Stimulation (DBS). A unilateral lesion of the subthalamic nucleus has shown reduction of contralateral motor symptoms in Parkinson's disease (PD). Using ExAblate Transcranial Magnetic Resonance guided High Intensity Focused Ultrasound (MRgHIFU) to create the subthalamotomy has several potential advantages over current therapies including the fact that transcranial lesioning can be performed in a precise manner with simultaneous as well as continuous clinical and radiographic monitoring. If the potential of ExAblate Transcranial subthalamotomy can be realized, it could supplant radiofrequency and radiosurgery techniques and provide a viable alternative procedure for subjects considering DBS.",NO,Parkinson's Disease,OTHER: MRIgHIFU unilateral subthalamotomy,"All causes of morbidity, Number of treatment-related adverse events as assessed by CTCAE v4.0, within the first 6 months (plus minus 1 month) after treatment|Efficacy, Improvement in the score of the Movement Disorders Unified Parkinson's Disease Rating Scale III (MDS-UPDRS III) that evaluates motor features of PD. The scale will be assessed pretreatment and after intervention and the reduction after treatment in the total MDS-UPDRS III score and the score in the treated hemibody will be measured. MDS-UPDRS III is a scale that assesses all the motor features of PD (akinesia, tremor, rigidity, gait disturbance). Score range between 0 (no presence of motor features) and 132 (maximum score for all items)., 6 months","MDS-UPDRS I, MDS-UPDRS I evaluates non-motor symptoms of PD. Scores of the scales will be measured pretreatment and after procedure and compared., 6 months|MDS-UPDRS II, MDS-UPDRS II evaluates dependence in daily life activities. Scores of the scales will be measured pretreatment and after procedure and compared., 6 months|MDS-UPDRS IV, MDS-UPDRS IV evaluates presence and impact of motor complications (i.e. motor fluctuations and dyskinesia).

Scores of the scales will be measured pretreatment and after procedure and compared., 6 months|Dyskinesia severity as assessed through the Dyskinesia rating scale, Dyskinesia rating scale assesses the presence of involuntary movements, 6 months|Levodopa equivalent medication usage (milligrams) when applicable, 6 months|Patient and Clinician Global Impression of Change, 6 months|Quality of life assessment with PDQ-39, 6 months",,Fundación de investigación HM,Insightech,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,PD003E,2016-04,2017-01,2017-01,2016-09-23,,2017-01-31,,
NCT02347254,ExAblate Transcranial MRgFUS for Unilateral Pallidotomy for the Treatment of Parkinson's Disease,https://clinicaltrials.gov/study/NCT02347254,,ACTIVE_NOT_RECRUITING,"The proposed study is to evaluate the safety and initial effectiveness of the ExAblate Transcranial MRgFUS) treatment of patients with L-dopa induced dyskinesia of Parkinson's disease (LID PD).

Safety:

To evaluate the incidence and severity of adverse events associated with ExAblate Transcranial 4000 MRgFUS treatment of dyskinesia of Parkinson's disease.

Effectiveness:

To determine the level of effectiveness of the ExAblate Transcranial MRgFUS treatment of LID in PD patients. Efficacy will be determined utilizing clinical rating scales for dyskinesia (UPDRS-IV and the Unified Dyskinesia Rating Scale) from examinations at Baseline, 3-Months and 12-Months post-ExAblate treatment.",NO,Parkinson's Disease,DEVICE: Transcranial ExAblate,"Number of Device and Procedure related adverse events, To evaluate the incidence and severity of adverse events associated with ExAblate Transcranial 4000 MRgFUS treatment of dyskinesia of Parkinson's disease., At the time of ExAblate trascranial procedure","Severity of Device and Procedure related adverse events, To evaluate the incidence and severity of adverse events associated with ExAblate Transcranial 4000 MRgFUS treatment of dyskinesia of Parkinson's disease., At the time of ExAblate trascranial procedure",,InSightec,,ALL,"ADULT, OLDER_ADULT",NA,6,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,PD004|222434,2014-09,2023-06,2023-12,2015-01-27,,2022-12-20,"Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada",
