NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT05950347,The Efficacy and Safety of Transcutaneous Auricular Vagus Nerve Stimulation for Anxiety in PD,https://clinicaltrials.gov/study/NCT05950347,,NOT_YET_RECRUITING,This study is a double blind comparative study examining the effectiveness of the transcutaneous auricular vagus nerve stimulation treatment on Parkinson's disease patients with anxiety. The investigators hypothesize that taVNS will improve anxiety and cortical activity in Parkinson's disease patients with anxiety.,NO,Parkinson Disease,DEVICE: Active Transcutaneous auricular vagus nerve stimulation|DEVICE: Sham Transcutaneous auricular vagus nerve stimulation,"change of Hamilton Anxiety Scale Score, Hamilton Anxiety Scale (HAM-A score), which was used for assessing the degree of anxiety. It consists of 14 symptomatic definition elements, with a total possible score of 56. The differences in HAMA score before and after treatment can be used to evaluate the effect of taVNS treatment., Assessed at baseline, one day post intervention，2 weeks post intervention","change of HbO2 in the prefrontal cortex, The change of HbO2 in the prefrontal cortex is accessed by fNIRS combined with verbal fluency task. Recent documents have highlighted the effectiveness of fNIRS combined with verbal fluency task (VFT) in detecting alterations in the PFC in patients with anxiety. The differences in HbO2 before and after treatment can be used to evaluate the effect of taVNS treatment., Assessed at baseline, one day post intervention|change of Uniﬁed Parkinson's Disease Rating Scale Score section III, Uniﬁed Parkinson's Disease Rating Scale Score section III were used to assess the severity of motor symptoms., Assessed at baseline, one day post intervention，2 weeks post intervention|change of Uniﬁed Parkinson's Disease Rating Scale Score section I, Uniﬁed Parkinson's Disease Rating Scale Score section I can evaluate changes in mental state and cognition (including behavior and emotions), Assessed at baseline, one day post intervention，2 weeks post intervention",,The First Affiliated Hospital with Nanjing Medical University,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-07,2023-08-01,2023-11-30,2023-12-31,2023-07-18,,2023-07-28,"the First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiang Su, 210029, China",
NCT05263414,Neuromodulation of Inhibitory Control in Tic Disorders,https://clinicaltrials.gov/study/NCT05263414,,UNKNOWN,"The present study aims to assess the effects of non invasive electrical stimulation of the vagus nerve via transcutaneous vagus nerve stimulation (tVNS) on cognitive functions, inhibitory and tic control in patients with tic disorders. Taking into account the role that GABA plays in inhibitory control, the presence of alteration of GABA neurotransmission in Tic disorders and the possibility to increase GABA release with tVNS, the investigators hypothesized that tVNS might improve behavioral control in Tic disorders. Moreover, as suggested by previous studies investigating the effects of tVNS in other patient populations, the investigators expected that tVNS will be safe and well tolerated. Such results would encourage the use of tVNS in Tic disorders.",NO,Tic Disorders,DEVICE: tVNS,"Contextual Go No-Go, Performance in the contextual go no go task, consisting in the accuracy in making the response in the presence of a go stimulus, and not responding in the presence of a no-go stimulus (Response selection) as a function of different level of congruency between the kinematics and the contextual cues (stimulus selection). Change in inhibition at response level (response selection) and at stimulus level (response inhibition) after active tVNS., Time 1- at the end the active session vs Time 0- at the end of the sham session|Attentional Network Test, Performance in the ANT tasks, with respect to the three components: alerting, orienting, executive control. For the alerting component, the mean RT of the correct trials in the double-cues conditions will be subtracted from the mean RT of the no-cue condition. For the Orienting component, the effect will be calculated by subtracting the mean RT of the spatial cue condition from the mean RT of the central cue condition. For the executive control component, the effect will be obtained by subtracting the mean RT of the incongruent flanking condition from the mean RT of the congruent flanking condition.Change in alerting, orienting, executive control after active tVNS., Time 1- at the end the active session vs Time 0- at the end of the sham session","Tic control, Scores in the YBTCCS after each session will be compared., Time 1- at the end the active tVNS session vs Time 0- at the end of the sham session|tVNS feasibility, Evaluation of the number of dropouts: number of patients who renounce to complete the two sessions. Evaluation of the number of sessions completed per patient: total number of sessions performed in front of the total number proposed of two sessions, Time 1- at the end the active tVNS session vs Time 0- at the end of the sham session|tVNS acceptability, Ad-hoc questionnaire completed by participants to assess subjective evaluation of tVNS discomfort (10 cm Visual Analogue scales with higher values corresponding to greater discomfort)., Time 1- at the end the active tVNS session",,IRCCS Eugenio Medea,,ALL,ADULT,NA,26,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",847,2022-06-01,2023-03-31,2023-04-30,2022-03-02,,2022-03-02,"Scientific Institute, IRCCS E. Medea,, Pasian di Prato, Udine, 33037, Italy",
NCT06121947,Safety and Efficacy Study of Implantable Neuromodulation for Poststroke Hemiplegia,https://clinicaltrials.gov/study/NCT06121947,,NOT_YET_RECRUITING,"Background: Hemiplegia is a common complication after a stroke. Studies have shown that traditional medical and rehabilitation treatments are not good for improving patients' motor function, deep brain stimulation (DBS) and vagus nerve stimulation (VNS) can improve the motor function of patients, but there is no comparative study between them. Objectives: This study compares the efficacy and safety of DBS and VNS in the recovery of motor function in patients with post-stroke hemiplegia, determining the best treatment for patients with post-stroke hemiplegia, and providing high-level clinical evidence for patients and clinicians to choose from. Methods/Design: This is a randomized, double-blind, sham-controlled, cross-controlled pilot study. A total of 98 patients with post-stroke hemiplegia are assigned to receive DBS or VNS. After 3 and 6 months of follow-up, all the devices are turned off. After a 2-week washout, the control group is turned on, but the stimulation group is given sham stimulation. After 9 and 12 months of follow-up, all the devices are turned on. Then, at postoperative 15 and 18 months, postoperative neuroimaging and various post-stroke motor-related scores were performed for data collection and analysis. Discussion: We propose a study design and rationale to compare the efficacy and safety of DBS and VNS in patients with post-stroke hemiplegia to provide evidence and reference for implantable neuromodulation in the treatment of post-stroke dysfunction, and to compare the therapeutic effects of DBS and VNS to provide evidence for patient and clinical diagnosis and treatment choices. Study limitations are related to the small sample size and short study period.",NO,Stroke Sequelae|Deep Brain Stimulation|Vagus Nerve Stimulation|Motor Recovery|Stroke|Hemiplegia,PROCEDURE: The DBS electrodes are implanted into MLR.|PROCEDURE: The electrodes are implanted into the patient's vagus nerve,"Motor function intervention effect: Fugl-Meyer Assessment Scale (FMA), Fugl-Meyer Assessment Scale (FMA) was used to measure the motor function of stroke patients. FMA is widely used in clinical motor function assessment and is a quantitative stroke-specific scale used to assess motor function, balance, sensory and joint function in hemiplegic patients. Each of the five domains contains different assessment items, which are scored on a 3-point scale: 0 = unable to perform. 1 = Partially performed, 2 = Fully performed This scale has been found to have good validity and reliability in the stroke population . There are 17 items in total, and the higher the score, the better the motor function., Up to 1.5 year postoperatively","Overall improvement of clinical symptoms, The NIHSS score is used to evaluate the degree of neurological deficit in stroke patients. The baseline evaluation can assess the severity of stroke, and the treatment effect can be regularly evaluated after treatment. Scores range from 0 to 42, with higher scores indicating more severe neurological damage. ; Patients with a score of 16 are likely to die; A score of 6 is highly likely to have a good recovery., Up to 1.5 year postoperatively|The incidence of surgical complications and side effects, Continuously record the subjects' complications and side effects, Up to 1.5 year postoperatively|Change of 36-item Short Form General Health Survey (SF-36), The SF-36 scale is a comprehensive index that reflects the health status of individuals.This scale has 8 dimensions to evaluate health-related quality of life, namely, physical function (PF), role physical (RP), body pain (BP), general health (GH), vitality (VT), social functioning (SF), role emotional (RE), mental health (MH). Higher score indicates better health status., Up to 1.5 year postoperatively|Change of Hamilton Anxiety Scale (HAMA), HAMA score can better reflect the severity of anxiety. It is composed of two parts, namely, physical anxiety (item 7-13) and mental anxiety (item 1-6, 14). Total score ≥ 29 points: severe anxiety; Total score ≥21 points: there must be significant anxiety; Total score ≥14 points: there must be anxiety; Total score ≥ 7 points: you may have anxiety; Total score \< 7 points: there are no symptoms of anxiety., Time Frame: Six months postoperatively, and one year postoperatively.|Change of 24-item Hamilton Depression Scale (HAMD), HAMD score can better reflect the severity of depression. Total score \< 7 points: normal; Total score 7-17 points: possible depression; Total score 17-24 points: definitely depression; Total score \> 24 points: severe depression., Up to 1.5 year postoperatively",,Chinese PLA General Hospital,,ALL,"ADULT, OLDER_ADULT",NA,98,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",ChinaPLAGH_Xjp1,2023-11-10,2029-10-30,2030-10-30,2023-11-08,,2023-11-08,"Chinese PLA General Hospital, Beijing, China",
NCT05809037,Evaluation of Noninvasive Vagus Nerve Stimulation on Functional Status in Ischemic Stroke,https://clinicaltrials.gov/study/NCT05809037,,RECRUITING,"In this study, the effectiveness of vagus nerve stimulation in patients with right and left hemiparesis will be compared with each other and with the sham application.",NO,"Stroke, Ischemic|Hemiplegia|Hemiparesis;Poststroke/CVA",DEVICE: transcutaneous auricular vagus nerve stimulation|DEVICE: Sham stimulation,"Fugl-Meyer Assessment for Upper Extremity, It is considered as gold standard and is the only impairment level measure recommended for stroke trials. It consists of 30 items assessing motor function and 3 items assessing reflex function. The score most applicable to task performance is given from ""0, inability,"" ""1, beginning ability,"" to ""2, normal"" (total score range, 0-66)., Change from Baseline Fugl-Meyer Assessment for Upper Extremity at 4 weeks and 12 weeks|Stroke-Specific Quality of Life Scale, The Stroke-Specific Quality of Life Scale assesses health-related quality of life specific to stroke survivors. 49 questions under 12 subscales. Scores range from 49-245. Higher scores indicate better functioning., Change from Baseline Stroke-Specific Quality of Life Scale at 4 weeks and 12 weeks","Barthel Index, Barthel Index is used to measure the disability experienced by the patient in performing activities of daily living. It comprises 10 items regarding activities of daily living and mobility and assesses feeding, transfer from wheelchair to bed and back, self-care, bathing, walking, climbing stairs, dressing, and bladder and bowel continence. Scoring is based on whether the patient requires help or not in performing any of the above mentioned activities. Proposed guidelines for interpreting Barthel scores are that scores of 0-20 indicate ""total"" dependency, 21-60 indicate ""severe"" dependency, 61-90 indicate ""moderate"" dependency, and 91-99 indicates ""slight"" dependency., Change from Baseline Barthel Index at 4 weeks and 12 weeks|Modified Ashworth Scale, Modified Ashworth Scale (MAS) is used to assess spasticity. Scoring: 0: No increase in tone; 1: slight increase in tone giving a catch when slight increase in muscle tone, manifested by the limb was moved in flexion or extension; 1+: slight increase in muscle tone, manifested by a catch followed by minimal resistance throughout (ROM ); 2: more marked increase in tone but more marked increased in muscle tone through most limb easily flexed; 3: considerable increase in tone, passive movement difficult and, 4: limb rigid in flexion or extension, Change from Baseline Modified Ashworth Scale at 4 weeks and 12 weeks|Berg Balance Test, Berg Balance Test is consisting of 14 items and measures the ability of individuals to maintain balance while performing functional tasks. Each task is scored from 0 (cannot perform independently) to 4 (stated best performance). 0-20 points are interpreted as high risk of falling, between 21-40 points as medium risk of falling, and between 41-56 points as low risk., Change from Baseline Berg Balance Test at 4 weeks and 12 weeks|Composite Autonomic Symptom Score (COMPASS-31), The test has 6 domains looking at autonomic symptoms: orthostatic intolerance, vasomotor, secretomotor, gastrointestinal, bladder and pupillomotor. The six domain scores sum to a total COMPASS 31 score of 0 to 100, and a higher COMPASS 31 score indicates more severe autonomic symptoms., Change from Baseline Composite Autonomic Symptom Score at 4 weeks and 12 weeks|Pittsburgh Sleep Quality Index, The Pittsburgh Sleep Quality Index (PSQI) is a self-rated questionnaire which assesses sleep quality and disturbances over a 1-month time interval. Each item is weighted on a 0-3 interval scale. The global PSQI score is then calculated by totaling the seven component scores, providing an overall score ranging from 0 to 21, where lower scores denote a healthier sleep quality., Change from Baseline Pittsburgh Sleep Quality Index at 4 weeks and 12 weeks",,Istanbul Physical Medicine Rehabilitation Training and Research Hospital,,ALL,"ADULT, OLDER_ADULT",NA,80,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022/382,2023-03-27,2023-12-27,2024-03-27,2023-04-12,,2023-04-12,"Istanbul Physical Medicine and Rehabilitation Training and research Hospital, Istanbul, Turkey",
NCT05101707,CIMT and taVNS for Hemiplegia in Infants,https://clinicaltrials.gov/study/NCT05101707,,ACTIVE_NOT_RECRUITING,"Newborns who are born premature or suffer brain injury at birth are at risk for motor problems that may cause weakness in reaching and grasping on one side of the body. In older children, therapists may use a hand mitt and restraint for the stronger arm, to encourage use of the weaker side, called constraint-induced movement therapy (CIMT). Even with the high intensity therapy of CIMT, it typically takes between 40-120 hours total treatment time for most children to improve their motor skills. A non-invasive form of nerve stimulation, transcutaneous auricular vagus nerve stimulation (taVNS), stimulates a nerve by the ear that enhances learning motor skills. The purpose of this study is to evaluate the safety and effectiveness of taVNS to improve motor skills when paired with CIMT in infants with one-sided weakness at 6-18months of age.",NO,Infant Development|Hemiplegia|Constraint Induced Movement Therapy,DEVICE: transcutaneous auricular vagus nerve stimulation|OTHER: Constraint induced movement therapy,"CIMT fidelity, Feasibility of delivering high fidelity CIMT therapy sessions while the therapist is also triggering taVNS using the Fidelity of Implementation Measure (FIRM) with scoring range (0-4), higher scores indicate greater consistency of therapy with established CIMT procedure, 0-1 month|Quality of Upper Extremity Skills Test (QUEST), test of hand function and quality of movement between the right and left sides of the body, scoring range 0-100, higher scores indicate better hand function, 0-2 months","Developmental Assessment of Young Children (DAYC) Physical Development domain, Developmental Assessment of Young Children, 2nd edition, physical domain is a standardized assessment of fine and gross motor skills, with a mean of 100 +/- 15, 0-2 months|Goal Attainment Scale (GAS), Goal Attainment Scale is an individualized standardized outcome measure that calculates the extent to which a patient's individual therapy goals are met, scored from -2 to +2 with higher scores indicating better than expected outcome, -2 indicating worse than expected outcome, 0-2 months|Gross Motor Function Measure-66 (GMFM-66), Gross Motor Function Measure-66 scores range from 0-3, with higher scores indicating better foundational gross motor skills and greater mastery of a task, 0-2 months",,Medical University of South Carolina,National Center of Neuromodulation for Rehabilitation|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),ALL,CHILD,EARLY_PHASE1,5,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DEVICE_FEASIBILITY,109558|P2CHD086844,2022-04-01,2023-12-30,2023-12-30,2021-11-01,,2023-08-31,"Medical University of South Carolina, Charleston, South Carolina, 29425, United States",
NCT01191307,Assess Specific Kinds of Children Challenges for Neurologic Devices Study,https://clinicaltrials.gov/study/NCT01191307,,TERMINATED,The ASK CHILDREN study is intended to aid in future development of various neurologic devices (i.e. neuroprostheses). The ASK CHILDREN study seeks to use study information obtained to identify more efficient strategies in the evaluation and review of neuroprostheses regulated by the Agency.,NO,Primary Dystonia|Epilepsy|Hydrocephalus|Bladder Control|Hearing Impaired (Partially),,,,,"Carlos Pena, PhD, MS",,ALL,CHILD,,16,FED,OBSERVATIONAL,Observational Model: |Time Perspective: p,09-006C,2009-03,2014-12,2014-12,2010-08-30,,2016-10-25,,
NCT05339893,Trans Auricular Vagus Nerve Stimulation (taVNS) and Robotic Training for Paralyzed Arm After Stroke,https://clinicaltrials.gov/study/NCT05339893,VaNSaRTS,RECRUITING,To determine whether treatment with transauricular vagus nerve stimulation (taVNS) during the training of an affected upper limb of a patient with chronic stroke on a robotic motor task alters the motor impairment.,NO,Stroke|Hemiparesis,DEVICE: In Motion Rehabilitation Robot,"Fugl-Meyer Motor Scale for the upper extremity, A standard well characterized measure of the movement ability of the subjects arm- shoulder, elbow, wrist, hand and fingers., 30-45minutes","Action Research Arm Test (ARAT), A standard evaluation of 19 different real world actions of the arm, including movements around the shoulder, elbow, wrist, hand and fingers., 30-45minutes",,Northwell Health,,ALL,"ADULT, OLDER_ADULT",PHASE2,45,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",21-1355,2022-03-23,2024-04-18,2025-04-18,2022-04-21,,2023-04-21,"Feinstein Institutes at Northwell Health, Manhasset, New York, 11030, United States",
NCT04857281,Non-invasive Vagal Nerve Stimulation (nVNS) for Symptomatic Exacerbation of Nausea in Patients With Gastroparesis and Related Disorders,https://clinicaltrials.gov/study/NCT04857281,nVNS,COMPLETED,"The hypothesis of this pilot study is that nVNS will result in relief of nausea by modulation of vagal nerve activity. nVNS is the first non-invasive, handheld medical device applied on the side of the neck and sends gentle, patented mild electrical stimulation through the skin to activate the vagus nerve. nVNS offers a potential alternative to Gastric electrical stimulation (GES) that could eliminate significant risks of injury or illness or identify likely responders to implantable neurostimulator including implanted VNS (iVNS). nVNS could provide a more effective and safer alternative to the use of traditional rescue medications.",NO,Chronic Unexplained Nausea and Vomiting|Gastroparesis,DEVICE: nVNS (gammaCore),"Average daily use of rescue medications for exacerbation of nausea/vomiting., Frequency of daily use of rescue medications., 4 and 6 weeks after nVNS initiation",,,Johns Hopkins University,ElectroCore INC,ALL,"ADULT, OLDER_ADULT",NA,45,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,IRB00265410,2021-04-19,2023-12-31,2024-01-23,2021-04-23,,2024-01-24,"Johns Hopkins Bayview Medical Center, Baltimore, Maryland, 21224, United States",
NCT05967598,Effect of taVNS of Brainstem Activation in Early and Late Parkinson's Disease Patients - an fMRI Study,https://clinicaltrials.gov/study/NCT05967598,,COMPLETED,"This is a randomised, within-subject, double-blinded, placebo-controlled study to assess the fMRI correlates of central nervous system (CNS) response to taVNS in early vs late-stage Parkinsons disease (PD), at two different frequencies. Forty PD patients will be included: twenty patients with early-stage (Hoehn and Yahr stage (HY) 1-2) and twenty patients with late-stage (HY 3-4) PD. Each patient will undergo one stimulation session, where they will receive active taVNS at 100 Hz (taVNS100), taVNS at 25Hz (taVNS25) or will have positioned electrodes without stimulation (xVNS). The order of taVNS100, taVNS25 and xVNS will be randomized between subjects. The session will include (1) xVNS and taVNS; (2) MRI and fMRI and (3) heart rate and breathing rate monitoring. Clinical assessment with the Movement Disorder Society-Unified Parkinson's Disease Rating Scale will be done before the session.",NO,Parkinson Disease|Neurologic Disorder,DEVICE: Noninvasive transcutaneous auricular vagus nerve stimulation at 100Hz|DEVICE: Noninvasive transcutaneous auricular vagus nerve stimulation at 25Hz|DEVICE: Sham cyma conchae stimulation,"Comparison of Brainstem activation pattern on fMRI (ROI analysis) during taVNS compared to xVNS, Block-design fMRI analysis will be performed on brainstem ROIs to assess activation in neuromodulatory brainstem nuclei during taVNS compared with xVNS using the tools of the AFNI program. Final analysis will be performed on group level., Only the online/acute effect measured during stimulation (time frame duration of 8 minutes per stimulation type) will be analysed.|Comparison of Functional connectivity pattern on fMRI (block design) of nucleus tractus solitarii and the rest of the nervous system during taVNS compared to xVNS, Functional connectivity (fMRI, block design) between the nucleus tractus solitarii (NTS) and the rest of the central nervous system will be analysed with AFNI Context-Dependent Correlation Analysis to determine whether taVNS produces a different pattern of connectivity compared with xVNS., Only the online/acute effect measured during stimulation (time frame duration of 8 minutes per stimulation type) will be analysed.|Comparison of Functional connectivity pattern on fMRI (block design) of locus coeruleus (LC) and the rest of the nervous system during taVNS compared to xVNS, Functional connectivity pattern (fMRI, block design) between the nucleus locus coeruleus (LC) and the rest of the central nervous system will be analysed with AFNI Context-Dependent Correlation Analysis to determine whether taVNS produces a different pattern of connectivity compared with xVNS., Only the online/acute effect measured during stimulation (time frame duration of 8 minutes per stimulation type) will be analysed.","Comparison of Brainstem activation pattern on fMRI (ROI analysis) during taVNS25 compared to taVNS100, Block-design fMRI analysis will be performed on brainstem ROIs to assess activation in neuromodulatory brainstem nuclei during taVNS100 compared with taVNS25 using the tools of the AFNI program. Final analysis will be performed on group level., Only the online/acute effect measured during stimulation (time frame duration of 8 minutes per stimulation type) will be analysed.|Comparison of Functional connectivity pattern on fMRI (block design) of nucleus tractus solitarii and the rest of the nervous system during taVNS25 compared to taVNS100, Functional connectivity (fMRI, block design) between the nucleus tractus solitarii (NTS) and the rest of the central nervous system will be analysed with AFNI Context-Dependent Correlation Analysis to determine whether taVNS produces a different pattern of connectivity compared with xVNS., Only the online/acute effect measured during stimulation (time frame duration of 8 minutes per stimulation type) will be analysed.|Comparison of Functional connectivity pattern on fMRI (block design) of locus coeruleus (LC) and the rest of the nervous system during taVNS100 compared to taVNS25, Functional connectivity pattern (fMRI, block design) between the nucleus locus coeruleus (LC) and the rest of the central nervous system will be analysed with AFNI Context-Dependent Correlation Analysis to determine whether taVNS100 produces a different pattern of connectivity compared with taVNS25., Only the online/acute effect measured during stimulation (time frame duration of 8 minutes per stimulation type) will be analysed.",,University of Ljubljana,University Medical Centre Ljubljana,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",012052/2020-2,2023-02-15,2023-09-29,2023-09-29,2023-08-01,,2023-10-17,"Neurology Department, UMC Ljubljana, Ljubljana, 1000, Slovenia",
NCT04118881,Ear Acupuncture Preventing Delayed Gastric Emptying.,https://clinicaltrials.gov/study/NCT04118881,,UNKNOWN,"Pancreatoduodenectomy is the preferred surgical method for periampullary diseases. The most common complication is gastric emptying disorder, which often greatly affects the quality of life of patients and prolongs the length of hospitalization. There are few reports on the treatment of gastric emptying disorder with single method, poor continuity of curative effect and low level of evidence. This study is to explore the clinical efficacy and safety of ear acupuncture in the prevention and treatment of DGE after pancreaticoduodenal surgery. This study is divided into two parts. The first part is to study the clinical efficacy and safety of auricular acupoint embedding in preventing gastric emptying disorder after pancreaticoduodenectomy. The second part is to study the clinical efficacy and safety of electroacupuncture in treating gastric emptying disorder.",NO,Auricular Acupoint Embedding|Pancreaticoduodenectomy|Delayed Gastric Emptying,OTHER: Ear Acupuncture,"Grading of delayed gastric emptying, The assessment was conducted in accordance with the DGE guidelines for post-PD surgery issued by the International Research Group of Pancreatic Surgery (ISGPS) in 2007., Day3 after operation|Grading of delayed gastric emptying, The assessment was conducted in accordance with the DGE guidelines for post-PD surgery issued by the International Research Group of Pancreatic Surgery (ISGPS) in 2007., Day5 after operation|Grading of delayed gastric emptying, The assessment was conducted in accordance with the DGE guidelines for post-PD surgery issued by the International Research Group of Pancreatic Surgery (ISGPS) in 2007., Day7 after operation|Grading of delayed gastric emptying, The assessment was conducted in accordance with the DGE guidelines for post-PD surgery issued by the International Research Group of Pancreatic Surgery (ISGPS) in 2007., Day14 after operation","Changes of motilin before and after operation, Serum motilin was measured at Day0 and Day7 after operation., Day0 and Day7 after operation.|Changes of somatostatin before and after operation, Somatostatin were measured at Day0 and Day7 after operation., Day0 and Day7 after operation.",,Tianjin Medical University Cancer Institute and Hospital,,ALL,"ADULT, OLDER_ADULT",NA,180,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,E2019158A,2019-10-10,2021-08-02,2021-12-02,2019-10-08,,2019-10-08,"Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, 300060, China",
