NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT04748640,Bilateral Essential Tremor Treatment With Gamma Knife,https://clinicaltrials.gov/study/NCT04748640,BEST-GK,RECRUITING,"Combined Phase II/III, multi-center, prospective, single-blinded trial.

Ten (10) patients with essential tremor who previously underwent successful and uncomplicated GK thalamotomy for essential tremor will undergo a contralateral treatment. The incidence of side effects will be determined at 3 months postoperatively, graded per the CTCAE v5 and analyzed by a data safety monitoring board. Upon successful review, this Phase II trial will be converted to a Phase III trial of utility that will enrol 40 additional patients. The primary outcome will be the change in QUEST score at 12 months postoperatively, as well as a patient-reported assessment of Health Utility. Secondary outcomes will include objective tremor, gait and speech assessments (filmed and scored by blinded evaluators), as well as quality of life questionnaires and adverse events questionnaires. Outcomes will be assessed at baseline, as well as 3, 6, 12, 24 and 36 months post-operatively.",NO,Essential Tremor,PROCEDURE: Gamma Knife VIM thalamotomy,"Change in QUEST Score, Difference in QUEST score between baseline and the 12-month follow-up, with statistical significance defined as p = 0.05 and a minimum clinically important difference (MCID) defined as 5, 12 months|Patient-based Assessment of Utility, A patient-reported assessment of utility after 12 months using the question ""Knowing what you know now, would you do this treatment again?""., 12 months","Gait Assessment (NRS-11), Patient-reported and blinded observer rating of the patient's ability to walk (Numerical rating scale (NRS-11) from 0 to 10, with 10 being best), Baseline, post operative month 3, 6, 12, 24, 36|Gait Assessment (missteps), Number of missteps in a 6 m standardized tandem walk, Baseline, post operative month 3, 6, 12, 24, 36|Falls, Number of falls in last month, Baseline, post operative month 3, 6, 12, 24, 36|Speech Assessment (NRS-11), Patient-reported and blinded observer rating of the patient's ability to speak (Numerical rating scale (NRS-11) from 0 to 10, with 10 being best), Baseline, post operative month 3, 6, 12, 24, 36|Numbness, Incidence of new-onset numbness, Baseline, post operative month 3, 6, 12, 24, 36|Dysgeusia, Incidence of taste alterations, Baseline, post operative month 3, 6, 12, 24, 36|Other adverse events, Incidence of other adverse events as classified in the CTCAE, Baseline, post operative month 3, 6, 12, 24, 36|Tremor (CRST), Assessment of tremor using the Clinical Rating Scale for Tremor (CRST) parts A (0-88) and B (0-36), higher scores correspond to a worse tremor)., Baseline, post operative month 3, 6, 12, 24, 36|Quality of life (QUEST), QUality of life in ESsential Tremor (QUEST) questionnaire (0-100 percent, higher scores correspond to a worse quality of life), Baseline, post operative month 3, 6, 12, 24, 36|Quality of life (CRST part C), Part C of the Clinical Rating Scale for Tremor (CRST) (0-32, higher scores correspond to a worse quality of life), Baseline, post operative month 3, 6, 12, 24, 36|Health Utility (EQ-5D-5L), Health Utility measured using the EQ-5D-5L and computed using the Canadian preference weights. Values range from 0 to 1, with 1 representing a perfect health., Baseline, post operative month 3, 6, 12, 24, 36",,Université de Sherbrooke,"University Health Network, Toronto",ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,50,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,20-5172,2021-06-08,2026-02,2026-10,2021-02-10,,2021-11-17,"Toronto Western Hospital, University Health Network, Toronto, Ontario, M5T 2S8, Canada|CIUSSS de l'Estrie-CHUS - Hôpital Fleurimont, Sherbrooke, Quebec, Canada",
NCT03339908,Regional Non-comparative Prospective Study of the Impact of Gamma Knife Radiosurgery on Tremor in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03339908,GK-SEP,COMPLETED,"Multiple sclerosis, chronic inflammatory disease of the central nervous system, affects approximately 100,000 peoples in France. It is the leading cause of disability in young adults. Tremor is a common symptom (25-58% of patients depending on the series) and can be particularly disabling. The drug treatments against tremor are ineffective or insufficient. Deep brain stimulation of the Vim (Small nucleus within thalamus) and stereotactic radiofrequency thalamotomy have shown their efficacy in this indication. However, in some cases these invasive procedures are impossible because of operational risk. Gamma knife thalamotomy can be an alternative choice. This procedure, less invasive, mainly because of the absence of craniotomy is used by several teams of international reputation for over fifteen years, with good to excellent results in essential tremor. The team of Marseille, which has an experience of 22 years in Gamma Knife radiosurgery has treated 250 patients with severe tremor (essential tremor or Parkinson's disease) by a unilateral thalamotomy with an improvement of 70% of functional scores.

In the literature, no formal studies of the effect of Gamma Knife in Multiple Sclerosis (MS) tremor is reported. There are only a few cases without specific evaluation of the efficacy in this disease. Hence the importance of studying in detail the effects of this technique, which allows a precise and limited lesion volume. Using an isocenter of 4mm and a dose of 130 Gy radiation lesion obtained is limited to a volume of 200 to 500 mm3.

The aim of this study is to assess through a minimally invasive technique with a circumscribed and reproducible lesion volume, the effect of thalamotomy on the particular tremor in multiple sclerosis with a prospective evaluation of its effects.

Patients with MS with a disabling tremor will be included in the study. They will be assessed with neurological examination, quality of life scales, neuropsychological assessment, functional scores and cerebral MRI.

This study will demonstrate the feasibility and effectiveness of Gamma Knife thalamotomy in MS patients with severe tremor.",NO,Multiple Sclerosis,DEVICE: Thalamotomy by gamma Knife radiosurgery,"Scale evaluation Tremor and Coordination Scale (TACS), Describe the effectiveness of the Gamma Knife radiosurgical treatment. Assess the impact of tremor and impaired coordination on daily activities. The TACS was developed as a single question, scored ordinally from 0 to 5, as follows: 0 (normal), 1 (minimal), 2 (mild), 3 (moderate), 4 (severe), or 5 (total disability). This scoring system makes it similar to the Performance Scales, 12 months|Scale evaluation Tremor and Coordination Scale (TACS), Describe the effectiveness of the Gamma Knife radiosurgical treatment. Assess the impact of tremor and impaired coordination on daily activities. The TACS was developed as a single question, scored ordinally from 0 to 5, as follows: 0 (normal), 1 (minimal), 2 (mild), 3 (moderate), 4 (severe), or 5 (total disability). This scoring system makes it similar to the Performance Scales, 24 months",,,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",NA,7,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-22|2016-A01071-50,2017-10-23,2021-01-20,2023-04-04,2017-11-13,,2023-04-06,"Assistance Publique Hôpitaux de Marseille, Marseille, 13354, France",
NCT04074031,Transcranial Ultrasound Therapy of Essential Tremor,https://clinicaltrials.gov/study/NCT04074031,ULTRABRAINTher,ACTIVE_NOT_RECRUITING,"Context. Essential tremor (ET) is a common disease, disabling in severe forms and resistant to drug treatment. In patients with severe ET, invasive neurosurgical technique such as deep brain stimulation of the Ventral Intermediate (VIM) nucleus of the thalamus is used. Focused ultrasound therapy, creating a small lesion of VIM represents an effective therapeutic alternative of low morbidity with the advantage of not requiring the opening of the skull and penetration into the brain. This therapy is performed under stereotactic guidance. Validation of the target before lesioning is done by testing the clinical effect by a gradual increase in temperature, resulting in tremor reduction. However, the gradual temperature increase in the targeting phase is suboptimal because it can decrease the efficiency of the lesioning procedure. The aim of this research project is to test an innovation of fundamental physics developed by the Langevin Institute, which would allow the reversible modulation of nerve tissue by ultrasonic waves without heating, to predict the effectiveness of treatment of the chosen target within the VIM before creating an irreversible lesion.

Methodology: Fifteen patients with severe and resistant essential tremor will be included in the study. A multimodal MRI will be performed for target calculation using several targeting methods for VIM developed during step 1. For each target, the application of neuro-modulation by ultrasound will allow determine the effect obtained on the tremor (quantified with adequate clinical scales - as Tremor rating scale (CRST), and the recording of electromyographic activity of the upper limbs) and the absence of side effects. A definitive millimetric lesion will be performed at the level of the most relevant target in order to maintain the clinical effect obtained. The procedure will be controlled by thermal MRI sequences. Post-therapy clinical and MRI multimodal follow-up will take place on D1, D7, M1, M2, M3, M6, M12 and M24.

Perspectives and Innovation: This project will test clinically the low intensity ultrasound neuromodulation jointly developed by the Langevin Institute and the Brain and Spine Institute ( ICM) in order to refine the targeting procedure of high intensity transcranial focused ultrasound therapy. In perspective, reversible neuromodulation performed in vivo in humans represents a considerable advance in the exploration and future treatment of neurological and psychiatric diseases such as depression. The translational collaboration between the physicists of the Langevin Institute, the ICM and the medical services of the Pitié-Salpêtrière guarantees the feasibility and quality of this first joint therapeutic trial.",NO,Essential Tremor,DEVICE: Transcranial Ultrasound Therapy (Exablate® 4000 Type 1.1),"The main objective is to evaluate the efficacy of Vim lesion produced by transcranial focused ultrasound on contralateral upper limb tremor at the 3-month procedure., The primary endpoint is the reduction of the severity of essential tremor measured by the clinical assessment of contralateral upper limb tremor at the lesion quantified by CRST A and B at V5 (3 months) compared with V1., 3 MONTHS","Interest of neuromodulation effect for the prediction of the final clinical effect, Interest of neuromodulation in the change of the initially defined target in calculating how many times the target has been changed compared to the reference method and therefore the relevance of the neuromodulation effect for the prediction of the final clinical effect at 3 and 12 months on tremor of the upper limb controlateral to the lesion, 3 MONTHS|Adverse events, The number of adverse events reported or observed between inclusion and the 24th month post-procedure. These events will be collected at all visits from V2 to V8. These events will be classified as sever and non-sever events. They will also be classified as events attributable to the procedure by the medical device, attributable to the lesion or independent of both according to the assumed pathophysiology of the effect., 24 MONTHS",,Assistance Publique - Hôpitaux de Paris,,ALL,"ADULT, OLDER_ADULT",NA,15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,APHP190407,2020-01-07,2023-01-10,2024-10-04,2019-08-29,,2024-01-25,"Hôpital Pitié Salpétrière, Paris, 75013, France",
NCT02827955,Evaluation of Bilateral Gamma Knife Thalamotomy in Patients Presenting With Severe Essential Tremor,https://clinicaltrials.gov/study/NCT02827955,VIMBIL,COMPLETED,"Essential tremor (ET) is the most frequent movement disorder. Its prevalence is about 1/200 implying that at least 300 000 peoples are concerned in France. Its frequency increase with age (14% of patients 65 yo). The diagnostic criteria are postural and kinetic tremor that can be associated with head/voice tremor. ET induces a social impairment but also difficulties to perform any task requiring dexterity. With time, tremor can be so severe that every activity of daily living is impaired with loss of autonomy.

Treatment such as betablockers, primidone or antiepileptics might have some efficacy at the beginning. But as the severity of the tremor increases, there is lack of efficacy. Deep Brain stimulation (DBS) of the ventral intermediate nucleus (VIM) of the thalamus can be proposed. However, in case of medical or surgical contra-indication, Gamma Knife (GK) radiosurgery thalamotomy can be an alternative option.

Patients will be included with a minimum of 12 months after having the first thalamotomy (Gamma Knife 1) (done on the most annoying side) subject to no significant deterioration in cognitive assessment, voice assessment and balance and postural assessment or neuroradiological abnormality.

Patients will be assessed with Magnetic resonance imaging (MRI) cerebral, clinical assessment (tremor rating scale) impairment of activity of daily living, neuropsychological evaluation, voice assessment and balance and postural assessment.

The second thalamotomy (Gamma Knife 2) will be proposed and a monitoring at M6 and M12 will be done.

This study will demonstrate the feasibility and tolerance of bilateral GK radiosurgery thalamotomy in ET patients with severe impairment.",NO,Patients With Parkinson's Disease,DEVICE: Gamma Knife® radiosurgery bilateral,"evaluation of cognitive tolerance, Define therapeutic technique ""acceptable"" in cognitive tolerance level by the Mini Mental State scale (MMS), 10% of subjects decrease their MMS over 2 points., 36 months",,,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",NA,33,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-38|2013-A01289-36|2013-38,2014-06-03,2021-04-16,2023-04-04,2016-07-11,,2023-04-14,"Assistance Publique Hôpitaux de Marseille, Marseille, 13354, France",
NCT06070233,"Radiosurgery Treatment for Spasticity Associated With Stroke, SCI & Cerebral Palsy",https://clinicaltrials.gov/study/NCT06070233,SPASM,RECRUITING,"A scientific study is being done to test a special treatment for people who have spasticity or tight muscles. This treatment is called ""stereotactic radiosurgery dorsal rhizotomy."" It uses very accurate beams of radiation to target certain nerves in the back to help loosen up the muscles. In this study, people are put into two groups by chance: one group gets the real treatment, and the other group gets a ""fake"" treatment that doesn't do anything. This fake treatment is called a ""sham."" Doing this helps make sure the study is fair and the results are true. After the people in the study get their treatment, the researchers will watch and see how they do. They will check if their muscles are less stiff and if they have any side effects. By looking at the results from both groups, the researchers can find out if the special treatment really helps people with spasticity. Patients who got the ""fake"" treatment will be eligible to receive the ""real"" treatment after 6 months.",NO,"Spasticity as Sequela of Stroke|Spastic Cerebral Palsy|Spasticity, Muscle",RADIATION: stereotactic radiosurgery (SRS) dorsal root rhizotomy radiomodulation|OTHER: Sham,"Change in Modified Ashworth Scale, Change in the 6-month post-treatment Modified Ashworth Scale (MAS) measure of spasticity, which ranges from 0 (no symptoms) to 4 (worst symptoms), 6 months post treatment","Change in spasticity-related quality of life (SQoL-6D), Change in spasticity-related quality of life 6-dimensions instrument (SQoL-6D) over two years post-treatment, where the scale ranges from 0 (worst quality of life) to 100 (best quality of life), 2 years post treatment",,Ohio State University,"Varian Medical Systems|Centro Diagnostico Milano, Co-PI: Pantaleo Romanelli, MD",ALL,"CHILD, ADULT, OLDER_ADULT",NA,22,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022H0425,2023-10-12,2026-12-31,2026-12-31,2023-10-06,,2023-10-31,"Ohio State University Wexner Medical Center, Columbus, Ohio, 43210, United States|Centro Diagnostico Italiano, Milano, Italy","Informed Consent Form, https://storage.googleapis.com/ctgov2-large-docs/33/NCT06070233/ICF_000.pdf"
NCT01734122,Stereotactic Radiosurgery for Essential Tremor and Parkinsonian Tremor,https://clinicaltrials.gov/study/NCT01734122,,RECRUITING,The purpose of this study is to determine the changes in quality of life and degree of tremor for patients with essential tremor or Parkinsonian tremor who are treated by stereotactic radiosurgery (SRS). This is a questionnaire-based study. Please see Detailed Description below for more information.,NO,Tremor|Essential Tremor|Parkinson Disease|Radiosurgery|Quality of Life,OTHER: Questionnaires / Observational Assessments,"Tremor-related Quality of Life, The tremor-related quality of life for each patient will be assessed by self-assessment questionnaire at 3 month intervals for 1 year after treatment by stereotactic radiation., 1 year","Severity of Tremor, The severity of tremor will be assessed by objective measure (Fahn-Tolosa-Marin tremor rating scale) at 3 month intervals for 1 year following the stereotactic radiation treatment., 1 year|Neuropsychological Assessment, All patients will undergo a neuropsychological assessment (1-2 hr examination) at baseline and at 6 months post-treatment. This will assess any unanticipated changes in neuropsychological brain function., Baseline and 6 months post-treatment",,Vanderbilt University Medical Center,,ALL,"ADULT, OLDER_ADULT",,60,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,120632,2013-02-21,2027-02,2028-02,2012-11-27,,2023-08-22,"Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States",
NCT03350139,Evaluation of the Predictors of Clinical and Radiological Response to Gamma-Knife Radiosurgery in the Treatment of Intermediate Ventral Nucleus of the Thalamus (VIM) Thalamotomy Tremor.,https://clinicaltrials.gov/study/NCT03350139,GARP,UNKNOWN,"Gamma-Knife radiosurgery of the VIM for patients presenting with severe drug-resistant tremor is now current practice as an alternative to Deep Brain Stimulation (DBS) of the VIM.

Now, around 100 patients are treated annually in our unit (essential tremor or Parkinson tremor).

Clinical and radiological follow-up is demonstrating that 80% of these patients are presenting with a homogenous response complete or subtotal, the disappearance of the tremor mean delay of 6 months after radiosurgery. In neuroradiological responses on the MRI, is appearing roughly at the same time local contrast enhancement surrounding highty to signal no associated with clinical side effects.

In 15 to 20% of the patients, the clinical effets is not obtained and in the vast majority no MRI response or minimal MRI response is observed on images suggesting that these failures are related to specific resistance to radiosurgery of this subgroup.

In roughly 5% of the patients, at the contrary, hyper response is observe on the MRI rating clinically with side effects (hemiparesis or proprioceptive ataxia or dysarthria, hands problems....). The adverse effects are generally reversible either in whole or in part with the resorption of the perilesionnel oedema.

It would be extremely helpfull to be able to identify in advance these 2 groups of hyper and hypo respondeurs.

The capacity to identify in advance these patients at risk to hypo or hyper response would allow us to either contre-indicate radiosurgery or modify radiosurgery technicaly at the time of dose planing.

Sequently, these predictions would allow us to tailor individually mission management and information leading to improvment of the efficacy and tolerance of this kind of intervention.

The parameters suspected to be likely to influence the response are :

* genetics
* co-morbidities (diabetis, vascular...)
* Main aspect of the brain (severe atrophy, vascular, micro-infacts...)
* Chronobiological (timing during the day of the radiosurgical procedure)
* Associated medication (potential radioprotector or radiosensitizer effect of some drugs)
* Radiobiological (dose rate...)

The goal of this study is to collect all of these informations out of genetical one in the cohort of 700 patients having benefited ou will benefit from radiosurgery in the situation for essential tremor and parkinson disease. It will be test the predictive value of these parameters and the capacity to predict hyper or hypo response.

The work on the genetic material will take place in the second stage in the frame of a new different resarch project.",NO,Severe Disabling Tremor,DEVICE: gamma knife radiosurgery,"Clinical evaluation of tremor reduction in relation to clinical co-morbidity, Clinical response increases with decrease in clinical co-morbidity, 12 months",,,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",,700,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-09|ID RCB,2017-10-23,2021-10-22,2021-10-22,2017-11-22,,2017-11-22,"Assistance Publique Hôpitaux de Marseille, Marseille, 13354, France",
NCT02255929,Gamma Knife Radiosurgery for Treatment of Essential Tremor,https://clinicaltrials.gov/study/NCT02255929,,ACTIVE_NOT_RECRUITING,The purpose of this study is to examine effects (good and bad) of gamma knife radiosurgery for essential tremor. The gamma knife places a small lesion in the brain to suppress tremors.,NO,Essential Tremor,RADIATION: Gamma Knife Radiosurgery,"Change in Effectiveness based on Clinical Rating Scale for Tumor (CRST-Part B) questionnaires., The change observed is represented by a writing and drawing score assessment of tremors. The assessment is conducted by a movement disorder neurologist in a blinded fashion., Baseline, 6, 12, 24, and 36 Months Post Treatment","Safety Based on the Number of Incidences and Severity of Adverse Events Related with Gamma Knife Thalamotomy, Adverse Events to be reported as mild, moderate or severe, Baseline, 6, 12, 24, and 36 Months Post Treatment",,Swedish Medical Center,,ALL,"ADULT, OLDER_ADULT",NA,183,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,IR 5585,2014-09,2023-06,2023-12,2014-10-03,,2023-01-23,"Swedish Medical Center Radiosurgery Center, Seattle, Washington, 98122, United States",
NCT01284699,Evaluation of the Safety and Efficacy of Bilateral Subthalamic Nucleus (SNT) Radiosurgery in Idiopathic Severe Parkinson's Disease Fulfilling Inclusion Criteria for STN Deep Brain Stimulation and Presenting With a Contraindication to Intracerebral Electrode Implantation.,https://clinicaltrials.gov/study/NCT01284699,,COMPLETED,The goal of our trial is to evaluate the tolerance and efficacy of the STN radiosurgery in Parkinsonian patients presenting with the inclusion criteria for the STN stimulation but presenting also with clear contraindications to the implantation of the deep brain electrodes.,NO,Parkinson's Disease|With Inclusion Criteria for STN Deep Brain Stimulation|Presenting a Contraindication to Intracerebral Electrode Implantati,PROCEDURE: Gamma Knife radiosurgery,"Evaluation of the safety and efficacy, Feasibility of this step is mandatory on the organization of a true randomized comparative trial witch should bring a higher lever of evidence, but in the present state immature from ethical point of view., 48 months",,,Assistance Publique Hopitaux De Marseille,,ALL,"ADULT, OLDER_ADULT",NA,14,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2009-A01227-50|2009/34,2011-02-04,2017-05-04,2023-04-12,2011-01-27,,2023-04-14,"Assistance Publique - Hopitaux de Marseille, Marseille, France",
NCT02095600,Radiosurgery for Drug Resistant Invalidating Tremor,https://clinicaltrials.gov/study/NCT02095600,DB-SRS,COMPLETED,"Stereotactic lesioning of thalamus and basal ganglia for treatment of tremor is a well-known procedure which, prior to the introduction of deep brain stimulation, or DBS, was usually achieved using stereotactic surgical procedures.

Radiosurgery of invisible targets to treat movement disorders and intractable pain are still the domain of frame-based procedures, due to the need of a solid reference system registered to the anterior commissure-posterior commissure (AC-PC) line, which allows the use of stereotactic atlases.

In this study we want to utilize a mathematical method that uses atlas-derived stereotactic coordinates to perform frameless images-guided radiosurgery of such functional targets Particularly the aim of the present study is to investigate both the efficacy and the safety of the methodology to treat upper limb and hand tremor in elderly or in patients which are not ot susceptible of surgical procedures. For these reasons a dose escalation prospective trial have been designed.",NO,Severe Upper Limb Tremor Refractory to Medical Therapy,RADIATION: Radiosurgical thalamotomy,"Tremor control (improvement in FTMTRS and/or UPDRS motor), Tremor control (improvement in Fahn Tolosa Marin Tremor Rating Scale, FTMTRS, and/or Unified Parkinson's Disease Rating Scale, UPDRS, motor), 2 years","Targeting methodology validation (the lesions position, if present, will be compared to the treatment plan target position, deviations will be registered)., 2 years|The treatment safety will be evaluated. Toxicity will be registered according to NCI-CTCAE v3., The treatment safety will be evaluated. Toxicity will be registered according to National Cancer Institute-Common Terminology Criteria for Adverse Events Version 3,NCI-CTCAE v3., 2 years",,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,,ALL,"ADULT, OLDER_ADULT",NA,6,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,DB-SRS,2011-04,2016-12,2017-07,2014-03-26,,2019-03-20,"Fondazione IRCCS Istituto Neurologico C. Besta, Unit of Radiotherapy, Milan, 20133, Italy",
