NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT04655079,Efficacy and Safety of Transcranial dIrect Current stiMulation (tDCS) in Progressive Supranuclear Palsy (PSP) (STIM-PSP),https://clinicaltrials.gov/study/NCT04655079,STIM-PSP,COMPLETED,"This is a double-blind, randomized, sham-controlled clinical trial that aim to verify the safety and the efficacy of anodal transcranial direct current stimulation (tDCS) on cognitive and motor symptoms in Progressive Supranuclear Palsy (PSP) over the left dorsolateral prefrontal cortex (dlPFC).",NO,Progressive Supranuclear Palsy|Motor and Cognitive Symptoms,DEVICE: Anodal transcranial direct current stimulation (a-tDCS)|DEVICE: Sham Condition,"Change from baseline to 3-month follow up in verbal fluency task, fluency in verbal names, Baseline (T0); At 3-month (T3)","Change from baseline to 3-month follow in motor symptoms as assessed with sensor recordings (OPAL system), movements recorded with digital sensors (gait and other tasks), Baseline (T0); At 3-month (T3)|Change from baseline to 3-month follow up in cognitive symptoms as assessed with Montreal Cognitive Assessment (MOCA), Cognitive status assessed with Montreal Cognitive Assessment (MOCA). The cut off is 15,5. The minimum value is 0 and the maximum is 30. Higher scores mean a better outcome., Baseline (T0); At 3-month (T3)|Change from baseline to 3-month follow up in caregiver distress as assessed with Neuropshychiatric Inventory (NPI), depression symptoms, apathy, neuropsychiatric symptoms assessed with Neuropshychiatric Inventory (NPI) . The minimum value of distress is 0 and the maximum is 5. Higher scores mean a worse outcome., Baseline (T0); At 3-month (T3)|Change from baseline to 3-month follow up in executive function as assessed with Frontal Assessment Battery (FAB), Executive function assessed with Frontal Assessment Battery (FAB). The cut off is 13,4. The minimum value is 0 and the maximum is 18. Higher scores mean a better outcome., Baseline (T0); At 3-month (T3)|Change from baseline to 3-month follow up in attention as assessed with Frontal Assessment Battery (FAB), Attention assessed with Frontal Assessment Battery (FAB). The cut off is 13,4. The minimum value is 0 and the maximum is 18. Higher scores mean a better outcome., Baseline (T0); At 3-month (T3)|Change from baseline to 3-month follow up in caregiver distress as assessed with Zarit Carer Burden Burden Interview (ZBI), Caregiver distress assessed with Zarit Carer Burden Burden Interview (ZBI). The minimum value is 0 and the maximum is 88. The cut off is 46. Higher scores mean a worse outcome., Baseline (T0); At 3-month (T3)",,University of Salerno,,ALL,"ADULT, OLDER_ADULT",NA,24,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",tDCS 01-2020,2021-02-01,2022-05-11,2022-05-11,2020-12-04,,2023-08-02,"Centro per le Malattie Neurodegenerative (CEMAND) Dipartimento di Medicina e chirurgia, Sezione Neuroscienze, Università di Salerno, Salerno, Italy",
NCT05759403,"Comparison Between Parkinson's Disease and Parkinson's Dementia Complex (Genetically,Clinical and Electrophysiological)",https://clinicaltrials.gov/study/NCT05759403,,RECRUITING,"To compare between Idiopathic PD versus Parkinson-Dementia complex using different modalities: Demographic, Clinical, genetic, Psychometric and electrophysiologically",NO,Parkinson Disease Dementia|Parkinson Disease,DIAGNOSTIC_TEST: Cortical excitability using transcranial magnetic stimulation,"Score on MDS-UPDRS, Score on MDS-UPDRS, through study completion, an average of 1 year|Score on mini mental state examination, Score on mini mental state examination, through study completion, an average of 1 year","Score on PDQ-39, Score on PDQ-39, through study completion, an average of 1 year|Score on Score on Montreal Cognitive Assessment, Score on Score on Montreal Cognitive Assessment, through study completion, an average of 1 year",,Assiut University,,ALL,"ADULT, OLDER_ADULT",,40,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,TMS in Parkinson's,2022-11-01,2023-10-30,2023-11-30,2023-03-08,,2023-03-08,"Assiut university hospital, Assiut, 12345, Egypt",
NCT01019343,Physiological Investigations of Movement Disorders,https://clinicaltrials.gov/study/NCT01019343,,COMPLETED,"Background:

* Previous studies have given researchers information on how the brain controls movement, how people learn to make fine, skilled movements, and why some people have movement disorders. However, further research is needed to learn more about the causes of most movement disorders, such as Parkinson's disease.
* By using small, specialized studies to evaluate people with movement disorders and compare them with healthy volunteers, researchers hope to learn more about the changes in the brain and possible causes of movement disorders.

Objectives:

* To better understand how the brain controls movement.
* To learn more about movement disorders.
* To train movement disorder specialists.

Eligibility:

* Individuals 18 years of age or older who have had a movement disorder diagnosed by a neurologist and are able to participate based on the specific requirements of the small study.
* Healthy volunteers 18 years of age or older.

Design:

* Participants will have a screening visit with medical history, physical examination, and questionnaire to determine eligibility. Eligible participants will give consent to participate in up to seven additional outpatient visits for study procedures. The number of sessions and the procedures needed for participation depend on specific symptoms.
* Participants must avoid drinking alcohol or caffeinated drinks (sodas, coffee, and tea) for at least 2 days (48 hours) before each session.
* Potential studies may include magnetic resonance imaging (MRI) scans, functional MRI scans, electroencephalography, magnetoencephalography, transcranial magnetic stimulation, nerve and sensory stimulation, or movement and mental tasks during any of the above procedures.
* This study does not provide treatment for movement disorders. Participants will not have to stop any treatment in order to participate.",NO,Parkinson's Disease|Tourette's Syndrome|Tic Disorders|Dystonia|Movement Disorders,"PROCEDURE: Transcranial Direct Current Stimulation (tDCS)|DEVICE: Eye-tracking Device|DEVICE: Pulsed vibrator|OTHER: Gait Trainer Treadmill (GTT)|OTHER: Standard psychiatric scales SCID-I, YBOCS and SCI-OBS-lifetime and cognitive scales MMSE and MOCA|DEVICE: iMobility|DEVICE: QMAT|DIAGNOSTIC_TEST: Treadmill Test|DEVICE: Arm Intellistretch Device|PROCEDURE: Transcranial Sonography (TCS)|OTHER: Behavioral tasks|PROCEDURE: TMS single/paired pulse|PROCEDURE: MEG|PROCEDURE: EEG|PROCEDURE: MRI techniques|PROCEDURE: Peripheral Nerve Stimulation|PROCEDURE: EMG|PROCEDURE: Trancutaneous spinal direct current stimulation (tsDCS)","MRI, analyze measures such as the amplitude of the BOLD signal (fMRI); tractography between seed and target regions of interest (using DTI); morphometry of brain regions (using VBM); and different neurotransmitter levels in brain regions of interest (using MRS)., throughout|EEG and MEG, quantify measures such as event- or task-related potentials, synchronization/desynchronization, and coherence between sensors or sources located close to the brain areas of interest., throughout|TMS, analyze measures such as MEP amplitude and central conduction time., throughout|Behavioral measures, quantify measures such as reaction times to initiate movements, EMG patterns, movement kinematics (position, velocity, acceleration, curvature), eye movement., throughout",,,National Institute of Neurological Disorders and Stroke (NINDS),,ALL,"ADULT, OLDER_ADULT",NA,1273,NIH,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,100009|10-N-0009,2009-12-08,2016-08-17,2020-10-09,2009-11-25,,2024-02-20,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States",
NCT03350464,Repetitive Transcranial Magnetic Stimulation as a Treatment for Pain in Parkinson's Disease,https://clinicaltrials.gov/study/NCT03350464,,COMPLETED,"Transcranial magnetic stimulation (TMS) is a procedure that has been shown to improve pain in chronic sufferers. It is a well-tolerated procedure that can be performed on an outpatient basis. It uses a plastic covered coil that sends a magnetic pulse through the skull into the brain and by targeting particular areas in the brain it can be used to help modulate the perception of pain.

The study intends to use this technique to treat such a disabling symptom in patients who suffer from Parkinson's Disease (PD). Initially the aim is to study this technique in ten patients who are suffering from pain and have PD. These patients would initially require an MRI scan which allows us to map the brain and target the correct brain areas for the delivery of the stimulation. The stimulation would be performed over ten sessions and the patients would be assessed by a clinician using well recognized clinical tools.

It is anticipated that there will be a meaningful improvement in pain. It is also anticipated that TMS is a safe technique to use in patients with PD. The study will be used to help plan a future study that compares TMS with sham technique to prove whether TMS could be an option in the treatment of such a disabling condition.",NO,Parkinson Disease|Neuropathic Pain|Pain,DEVICE: Repetitive Transcranial Magnetic Stimulation,"No change in the patient's parkinson's disease as measured by Unified Parkinson's Disease Rating Scale III, UPDRS III is a clinical scale that measures the severity of the motor symptoms of Parkinson's Disease. No change is expected in the UPDRS III in the patients recruited from the start of the study to the end of the study., 10 weeks","An improvement by a minimum of 30% in the pain caused by Parkinson's Disease as measured by the King's Parkinson's Disease Pain Scale, The King's PD Pain Scale measures the patient's pain caused by Parkinson's Disease. An improvement is expected in the pain caused by Parkinson's Disease of at least 30% on the Kings' PD Pain Scale., 10 weeks",,Walton Centre NHS Foundation Trust,,ALL,"ADULT, OLDER_ADULT",NA,11,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,PS024 RG237-18,2018-04-05,2018-12-11,2018-12-11,2017-11-22,,2023-08-24,"The Walton Centre NHS Foundation Trust, Liverpool, Mersey, L97LJ, United Kingdom",
NCT02580890,Role of Transcranial Direct Current Stimulation (tDCS) in Patients With Attention Deficit Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT02580890,,COMPLETED,"The purpose of this study is to determine whether transcranial direct current stimulation (tDCS) is effective in the treatment attention deficit hyperactivity disorder (ADHD).

Randomized, double-blind Controlled Clinical Trial

Subjects Adults (between 18 and 59 years of age) with ADHD who meet the inclusion criteria and who agree to participate in the study Will recruit from advertisements and clinical referrals to a PRODAH

Active tDCS Anode - right DLPFC Cathode - left DLPFC Electric current is 2mA - Current is applied for 20 min

Sham tDCS Same assembly is used Current is applied for 30 sec

Both groups 5 stimulation sessions on consecutive days

Following tools at Baseline, 1st week, 2 st week, 3st week and 4st week Adult ADHD Self-Report Scale (ASRS) SDS - Sheehan Disability Scale CGI - Clinical Global Impression",NO,Attention Deficit Hyperactivity Disorder,DEVICE: tDCS active|DEVICE: tDCS sham,"Change in scores obtained in ASRS scale., This scale is used to access symptoms improvement in ADHD patients, is a self repor scale., Autcome measure assesments: day 1 (pre-intervention), day 5 (post-intervention), 1 and 4 weeks later (accompaniment).","Change in scores obtained in CGI scale., This scale is used to access clinical improvement in ADHD patients,, Autcome measure assesments: day 1 (pre-intervention), day 5 (post-intervention), 1 and 4 weeks later (accompaniment).|Change in scores obtained in Sheehan disability scale, Autcome measure assesments: day 1 (pre-intervention), day 5 (post-intervention), 1 and 4 weeks later (accompaniment).",,Hospital de Clinicas de Porto Alegre,Federal University of Rio Grande do Sul|Conselho Nacional de Desenvolvimento Científico e Tecnológico,ALL,ADULT,NA,16,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",13-0498,2014-09,2015-10,2015-10,2015-10-20,,2016-02-25,"Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, 91910-630, Brazil",
NCT05198921,The Effectiveness of Repetitive Transcranial Magnetic Stimulation for Spastic Diplegia Cerebral Palsy,https://clinicaltrials.gov/study/NCT05198921,,NOT_YET_RECRUITING,"Cerebral palsy describes a group of permanent disorders of the development of movement and posture, causing activity limitation that are attributed to non-progressive disturbances that occurred in the developing fetal or infant brain.

Nowadays, CP is not fully curable, and physiotherapy should be used in conjunction with other interventions such as oral drugs, botulinum toxin type A, continuous pump-administered intrathecal baclofen, orthopaedic surgery and selective dorsal rhizotomy. However, several systematic reviews conclude that there is low evidence that these invasive therapies are more effective than placebo.

Repetitive transcranial magnetic stimulation (rTMS) is a type of neuromodulatory technique through magnetic impulses. The effect of rTMS depends on the frequency of the emitted electromagnetic field; low frequencies (≤1 Hz) lead to an inhibition of neuronal electrical activity at the stimulation site, while high frequencies (≥3 Hz) cause neuronal depolarization.

The objective of the project is to evaluate the effectiveness of a repetitive Transcranial Magnetic Stimulation (rTMS) protocol, as an adjunct treatment to neurorehabilitation to improve gross motor function and quality of life in school-age children with spastic diplegia-type infantile cerebral palsy.",NO,"Cerebral Palsy, Spastic",DEVICE: repetitive Transcranial Magnetic Stimulation|DEVICE: sham repetitive Transcranial Magnetic Stimulation,"Change in Gross Motor Function by the Gross Motor Function-66, The GMFM is a standardized assessment instrument designed to measure change over time in gross motor function in cerebral palsy children. The GMFS-66 is an 66-item measure with five dimensions: lying and rolling, crawling/kneeling, standing and walking/running/jumping. Each GMFM item is graded on a 4-point scale. The magnitude of change that is considered clinically important for an individual child will vary and depend on the judgments made by the child, family, and therapist. It takes between 20-25 minutes to be completed. GMFM presents good longitudinal construct validity, the test - retest is high with a 0.99 ICC and researchers indicate that GMFM adequately measure change over time in gross motor function for children with CP., baseline, one month, two months, three months and six months.","Change in Functional Strength by the Functional Strength Measure, The functional strength measurement (FSM) measures functional strength in both, upper and lower extremities. It consists of eight items matching activities of children in aged group from 4 to 10 years with typically developing (TD). The FSM has been adapted for children with CP (FSM-CP). The test-retest reliability of FSM-CP, has shown to be high and the comparison of the scores on the FSM-CP with the HHD showed mostly moderate correlations. In the present study, only the items related to lower extremities will be evaluated. Participants will have the opportunity to practice every test item maximum five trials before being tested. Each item will be examined three times and the highest score will be the useful for the analysis. To be able to say that a child improved after a treatment, needs to improve his/her score from the last examination., baseline, one month, two months, three months and six months.|Change in Quality of Life by the Cerebral Palsy Quality of Life-Child, The CP QOL-Child is questionnaire designed to assess the QOL in children aged between 4-12 years. It is composed by two parts. The first one a caregiver/parent report for children aged 4 to 12 years and the second one is a self-report of children aged from 9 to 12 years. The parent-proxy version comprises 65 items, and the child self-report version comprises 53 items. The CP QOL-Child measures the seven areas of child's life such as; social wellbeing and acceptance, participation and physical health, feelings about functioning, emotional wellbeing and self-esteem, pain and impact of disability, access to services, and family health. For each question there's a number 1 (very unhappy) to 9 (very happy) (46). The scoring involves two steps. At the first step the items are transformed to a scale with a possible range of 0-100 and the second step it is done by the algebraic mean of item values for each domain. The scoring process is explained on the CP QOL-Child manual 2nd version., baseline, one month, two months, three months and six months.|Change in Spasticity by the Modified-Modified Ashworth Scale., The scale most commonly used to evaluate spasticity is the Ashworth scale (AS) and the Modified Ashworth Scale (MAS). The ICC scores of interrater reliability ranged from 0.54 to 0.80 and the intrarater reliability from 0.31 to 0.82. MAS is the primary outcome measure but at the time of data analysis the grades are modified (m-MAS), Modified-Modified Ashworth Scale. Therefore, the Rehabilitation Measures Database, suggests that a one-point change on the MAS reflects a clinically significant improvement. The score is based on the resistance felt during that one second of passive movement and it should be done 1-3 times at most. The target muscles will be hip flexors, adductors and tibialis anterior in both lower extremities. Physiotherapists will be experienced in applying MAS., baseline, one month, two months, three months and six months.|Change in Impact on family by the Revised Impact on Family questionnaire, The RIOF scale was designed specifically to measure the impact of paediatric chronic illness on the family. It consists of 15 items with good psychometric properties. Each item represents a statement about having a chronically ill or disabled child. Parents/legal guardians are asked to rate on a four-level scale (strongly disagree or strongly agree) to which degree each of the items applies to the current situation of the family. The instrument is also reliable and valid to be implemented with chronic hospitalized children., baseline, one month, two months, three months and six months.",,Universitat de Lleida,,ALL,CHILD,NA,222,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",ULleida1,2024-06,2024-12,2025-03,2022-01-20,,2023-05-15,"Claudia Arumi, Lleida, 25006, Spain",
NCT03137940,A Study on Safety of tDCS One-shot in UCP,https://clinicaltrials.gov/study/NCT03137940,,COMPLETED,"The study aims to evaluate the safety and the feasibility of transcranial Direct Current Stimulation (tDCS) session in children and young adults with Unilateral Cerebral Palsy (UCP). Secondarily it aims to test the effects of tDCS (real vs sham) in improving, in very short term, Upper Limb (UL) functions.",NO,Hemiplegic Cerebral Palsy,DEVICE: real tDCS|DEVICE: sham tDCS,"Incidence of Treatment Emergent Adverse Events [Safety and Tolerability], An adapted and child-friendly safety and tolerability questionnaire will be used for children and adolescent, while for young adults a questionnaire already used for this evaluation will be proposed. To explore the long-term safety the questionnaire is enriched with questions about quality of sleep, mood and activities to be answered after 24 hours of tDCS session, The questionnaire will be filled in immediately after the tDCS session (T1), at 1 hour and half from T1 (T2) and, on call, at 24 hours from the tDCS session (T3)","Changes in heart rate [heartbeats per minute], The heart rate will be measured with an electronic device., At baseline (T0, before the tDCS session), immediately after the tDCS session (i.e. 20 minutes after T0), at 1 hour and half from T1 (T2)|Changes in blood pressure [mmHg], The blood pressure will be measured with an electronic device., At baseline (T0, before the tDCS session), immediately after the tDCS session (i.e. 20 minutes after T0), at 1 hour and half from T1 (T2)|Changes in Box and Block Test (BBT), The BBT measures unilateral gross-manual dexterity; subjects have to move, one by one, the maximum number of blocks from one compartment of a box to another within 60 seconds. The test will be performed firstly with the dominant hand and after with the contralateral. The patient is allowed a 15-second trial period prior to testing. ICF Domain: Activity, At baseline (T0, before the tDCS session), immediately after the tDCS session (i.e. 20 minutes after T0), at 1 hour and half from T1 (T2)|Changes in Hand Grip, The hand grip will be measured with a dynamometer. The measurement will be performed firstly with the dominant hand and after with the contralateral., At baseline (T0, before the tDCS session), immediately after the tDCS session (i.e. 20 minutes after T0), at 1 hour and half from T1 (T2)",,IRCCS Fondazione Stella Maris,,ALL,"CHILD, ADULT",NA,8,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",Safety_tDCS1.0,2017-03-20,2017-10-20,2017-12-30,2017-05-03,,2019-08-08,"IRCCS Fondazione Stella Maris, Calambrone, Pisa, Italy",
NCT06247904,NIBS Therapy in Subacute Spinal Cord Injury,https://clinicaltrials.gov/study/NCT06247904,NIBS-SCI1,NOT_YET_RECRUITING,"No accepted clinical therapies exist for repair of motor pathways following spinal cord injury (SCI) in humans, leaving permanent disability and devastating personal and socioeconomic cost. A robust neural repair strategy has been demonstrated in preclinical studies, that is ready for translation to recovery of hand and arm function in human SCI, comprising daily transcranial magnetic stimulation treatment at the inpatient rehabilitation facility. This study will establish clinical effect size of the intervention, as well as safety and feasibility necessary for a subsequent controlled efficacy trial and inform preclinical studies for dosing optimization.",NO,Traumatic Spinal Cord Injury|Tetraplegia/Tetraparesis,DEVICE: Active rTMS|DEVICE: sham rTMS,"Eligibility, The proportion of patients who can take part in the study, whether they later agree to or not., 21 months (Recruitment period)|Recruitment, The proportion of eligible patients who agree to take part in the study., 21 months (Recruitment period)|Adherence to intervention, Proportion of intervention-related dropouts., 2 years (Duration of human subjects' involvement)|Adherence to outcome assessment, Proportion of patients that complete the assessments at the start and the end of the intervention., 2 years (Duration of human subjects' involvement)|Retention, The number of patients who drop out or were 'lost' at the 6-month follow-up., 2 years (Duration of human subjects' involvement)|Adverse Events, Rates of adverse and serious adverse events, 2 years (Duration of human subjects' involvement)","Motor neurological level change, Proportion of patients with Improvement of 2 or more motor zone of partial preservation levels from baseline to 6 months after injury., Baseline and 6 months after injury|Incidence of reconnectivity, The proportion of re-connectivity will be estimated by treatment group., Baseline and 6 months after injury|Change in motor threshold between groups, Change in motor threshold of key muscles will be estimated bilaterally within each group and a comparison of the change between groups., Baseline and 6 months after injury",,Albert Einstein Healthcare Network,University of Mississippi Medical Center|University of Sao Paulo|Massachusetts General Hospital|Weill Medical College of Cornell University,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",iRISID-2023-2494,2024-04-15,2025-12-31,2025-12-31,2024-02-08,,2024-02-08,"Jefferson Moss-Magee Rehabilitation - Elkins Park, Elkins Park, Pennsylvania, 19027, United States",
NCT04171804,Efficacy of Transcranial Direct Current Stimulation In Parkinson's Disease MCI,https://clinicaltrials.gov/study/NCT04171804,PDMCIStim,COMPLETED,The aim of the present study is to investigate the efficacy of prefrontal transcranial Direct Current Stimulation (tDCS) on cognitive functions and electrophysiological measures in Parkinson's Disease Mild Cognitive Impairment (PD-MCI). The participants will be assigned to active and sham groups (1:1) and will receive 10 sessions of tDCS (twice a day) for 5 days. The study will also examine if the effects may last for a month. The participants will be assigned to active and sham groups (1:1) and will receive 10 sessions of tDCS (twice a day) for 5 days. The study will also examine if the effects may last for a month.,NO,Parkinson Disease,DEVICE: Transcranial direct current stimulation,"Changes in response conflict in the Stroop Test during the study period, The stroop effect consists of the semantic and the response conflict. Response conflict (time in milliseconds) is obtained by subtracting the semantic conflict (time in milliseconds obtained in the second step of the protocol) from the stroop effect (time in milliseconds obtained in the first step of the protocol). Minimum time difference is 0 and maximum time difference is 100 milliseconds. Lower time differences indicate better performance and higher time differences indicate worse performance., Up to one month|Change in the verbal fluency performance during the study period, Verbal fluency is a test that measure multiple domains of cognition such as executive functions and language functions. Letter Verbal Fluency assesses the number of words beginning with certain letters that participants can generate within 60 seconds, the Category Verbal Fluency assesses the number of words within particular categories participants can generate within 60 seconds. Minimum score is 0 and maximum score is 80. Lower scores indicate worse performance and higher scores indicate better performance., Up to one month|Changes in Trail Making A Test performance during the study period, Trail Making A Test is a widely used as a quick and easy to administer measure of attention. Lower reaction times indicate better performance and higher reaction times indicate worse performance. Minimum time is 10 milliseconds and maximum time is 150 milliseconds., Up to one month|Changes in digit span during the study period, The Digit Span test is a measure of verbal short-term/working memory. Subjects must recall all digits either in forward (digit span forward) or backward (digit span backward) order.

Digit span forward total score: 0-10; higher score indicate better performance, digit span backwards total score: 0-10; higher score indicate better performance, Up to one month|Changes in delayed recall performance during the study period, Memory performance was assessed using delayed recall (number of units recalled) on the Wechsler Memory Scale (WMS-IV) logical memory (story recall) test. Scores represent a sum of recalled units of two different stories after a 30 minute delay. Total scores range from 0 to 50 (0-25 for each story) with higher scores reflecting better memory performance., Up to one month|Changes in verbal memory processes performance during the study period, The Verbal Memory Processes Test is a 15-word word-list learning test with a 40-minute delayed recall addition based on the Rey Auditory Verbal Learning Test which gives the opportunity to evaluate the processes of working memory, learning or acquiring knowledge, retention of information, and recalling.

It consists of immediate recall, learning score and a 40-min delayed recall test, followed by total recall. Higher scores indicate better performance in all indexes of the test. Minimum scores are 0 and maximum scores are 15 for immediate recall, delayed recall and total recall and 150 for learning score, respectively., Up to one month|Changes in face recognition performance during the study period, Benton Facial Recognition Test is a common test assessing visuo-spatial functions. It was developed by Benton in 1969. It is standardized to determine the capacity to identify and distinguish unrecognized human faces. This test consists of 22 pages of A4 size and there are face pictures on these pages. Only one page of pages is numbered. There is a stimulant picture on pages with no page numbers. Numbered pages have 6 pictures to select from among the responses. The application period of the test is 5-15 minutes and the time factor is not evaluated separately. Higher scores indicate better performance and lower scores indicate worse performance. Minimum score is 0 and maximum score is 54., Up to one month|Changes in judgment of line orientation performance during the study period, A test of visuospatial judgement. The test measured the participant's ability to match the angle and orientation of lines in space. There were 30 trial in total. Correct response in a trial was awarded one point. Minimum score is 0 and maximum score is 30. Higher scores represent better performances., Up to one month|Changes in the naming performance during the study period, The naming performance will be measured by the Boston Naming Test Short Form and Responsive Naming Test. Boston Naming Test consists of 45 pictures to be named. Minimum score is 0 and maximum score is 45. Higher scores indicate better performance and lower scores indicate worse performance. In the Responsive Naming Test, participants answer the questions such as ""What do women apply to their lips?"" Minimum score is 0 and maximum score is 10. Higher scores indicate better performance and lower scores indicate worse performance., Up to one month|Changes in amplitudes (in microvolts) for parameters from the ERP tests during the study period for parameters from the ERP tests during the study period, Amplitudes (in microvolts) for the following parameters from the ERP tests will be collected as primary endpoints:N1, P3 and other common wave forms for both Two-tone auditory oddball paradigm and Continuous Performance Test ERP paradigms., Up to one month|Changes in detection sensitivity from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period, Detection sensitivity from Signal Detection Theory (d', calculated as \[zFA - zHR\], where z is the inverse of the standard normal cumulative distribution, FA is the false-alarm rate \[the proportion of responses made to stimuli that were not targets\], and HR is the hit rate \[the proportion of correct identifications of target stimuli\]) during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms will be measured., Up to one month|Changes in reaction times from the behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period, Reaction times for the correct behavioral responses during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms will be measured., Up to one month","Correlation between changes in behavioral measures and changes in amplitudes of ERP components, Correlation between changes in detection sensitivity from the behavioral responses and changes in amplitudes of ERP components during the Two-tone auditory oddball and Continuous Performance Test ERP paradigms during the study period, Up to one month",,Istanbul University,,ALL,"ADULT, OLDER_ADULT",NA,26,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2018-055,2019-01-01,2021-06-10,2021-06-10,2019-11-21,,2022-03-31,"Istanbul University, Istanbul, Turkey",
NCT01100762,Transcranial Direct Current Stimulation (tDCS) and Parkinson's Disease,https://clinicaltrials.gov/study/NCT01100762,,COMPLETED,"The use of low level electrical stimulation when applied over the head, also called transcranial direct current stimulation (tDCS), is being tested by several groups of researchers to see if tDCS can improve movements of persons with damage to the brain. The safety and potential benefits of tDCS to children or adults patients who are paralyzed because of brain damage are reported in the medical literature. In addition, some patients with Parkinson's disease (PD) experience improvement in memory and report better use of the hand after tDCS. The treatment requires putting electrodes (pads) over the head and sending very small amount of electrical current that the patient may feel as ""little tingling"". Application of tDCS takes 20 min. In this study we wish to test if tDCS application can improve stepping and walking ability of subjects with PD and if the improvement is the same as when walking on treadmill. We plan to test the subject's ability to step when pulled by a laboratory testing system and also test his/her walking ability. There will be 3 sessions 7 days apart. In the first session the subject will be tested then treated for 20 min with tDCS and then tested again. In the second session the subject will be tested then walk on a treadmill for 20 min then tested again. In the third session the subject will be tested then walk on the treadmill for 20 min while receiving also tDCS and tested one last time at the end of the session. Each session will take between 2 and 3 hours.",YES,Parkinson's Disease,DEVICE: Cranial Electric Stimulation (CES)|DEVICE: Treadmill|DEVICE: CES and Treadmill,"Stride Length, Stride Length was measured in centimeters, Data collection occurred before and immediately after each training session|Gait Velocity, Gait Velocity was measured in meters per second, Data collection occurred before and immediately after each training session|Cadence, Cadence was measured in steps per minute, Data collection occurred before and immediately after each training session|Number of Steps to Regain Balance, Steps to regain balance were measured by the number of steps needed to recover standing balance. The steps were counted using a custom software of the motion capture system., Data collection occurred before and immediately after each training session|First Step Length, First step length was measured in meters from the starting position of the foot to the maximum displacement of the foot after the first step. Measurements were taken separately for forward and backward first step., Data collection occurred before and immediately after each training session|First Step Velocity, First step velocity was measured in meters per second, Data collection occurred before and immediately after each training session",,,"University of Maryland, Baltimore",,ALL,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,HP-00040670,2010-01,2011-06,2011-06,2010-04-09,2011-12-19,2019-10-30,"PTRS Research Lab, Baltimore, Maryland, 21201, United States",
