TrialID,Date registration3
NCT05580302,20221010
ACTRN12622000775718,20220531
ChiCTR2200059423,20220429
IRCT20170703034879N3,20210731
NCT04922411,20210604
DRKS00024035,20210406
ChiCTR2100042452,20210121
NCT04759898,20201221
NCT04675398,20200923
TCTR20200909005,20200909
NCT04361955,20200422
JPRN-UMIN000040073,20200406
NCT04299087,20200228
RBR-3rvfwt,20191226
DRKS00018838,20191002
NL-OMON45367,20170503
NL-OMON45276,20170406
NCT02795663,20160526
NCT02503930,20150709
JPRN-UMIN000014287,20140618
NL-OMON39613,20140224
NCT01934296,20130829
NCT01852474,20130508
NCT01774383,20130121
NCT01272154,20110105
NCT01174771,20100728
NCT00411255,20061212
NCT00342108,20060620
NCT00050024,20021119
NCT00001663,19991103
IRCT20160307026950N6,20180703
IRCT20130812014333N95,20180615
NCT04784494,20210302
NL-OMON22331,20130319
NCT00350402,20060705
JPRN-jRCTs032210506,20211222
NCT04728295,20210114
NCT04361006,20200419
JPRN-UMIN000031138,20180205
JPRN-UMIN000023639,20170101
JPRN-UMIN000016590,20150223
JPRN-UMIN000004150,20100902
NCT06234995,20240123
NCT06223399,20240102
NCT06232629,20231226
NCT06205043,20231128
NCT06169852,20231115
NCT06127771,20231106
NCT06122675,20231102
DRKS00032906,20231020
NCT06090682,20231014
NCT06090929,20231007
NCT06095245,20230926
NCT06078397,20230920
NCT06013956,20230822
DRKS00032470,20230814
NL-OMON54196,20230809
NCT05997667,20230807
DRKS00032400,20230731
NCT05959161,20230717
NL-OMON53748,20230714
NCT05976074,20230703
NCT05962489,20230628
NCT05933681,20230627
NCT06012461,20230618
NCT05968976,20230609
NCT05909839,20230609
NCT05910008,20230608
DRKS00032006,20230605
NCT05901350,20230604
NCT05897775,20230601
NCT05905302,20230519
NCT05893186,20230512
DRKS00031878,20230512
NL-OMON53528,20230424
NCT05833308,20230417
NCT05843084,20230411
NCT05822388,20230410
NL-OMON54430,20230406
NCT05774041,20230307
NCT05763732,20230228
NCT05752656,20230221
NCT05753449,20230207
