,TrialID,Registration_Date,Source
6,ACTRN12618000944235,05-06-2018,old
10,NTR6607,09-08-2017,old
11,NTR6696,23-06-2017,old
16,NTR5809,23-04-2016,old
20,NTR4881,03-11-2014,old
27,NTR3655,08/10/2012,old
34,NL9557,14/06/2021,old
62,ACTRN12617000934347,28-06-2017,old
171,NCT04692116,2020-12-31 00:00:00,old
182,NCT04727658,2021-01-27 00:00:00,old
183,NCT03526991,2018-05-16 00:00:00,old
185,NCT04367116,2020-04-29 00:00:00,old
186,NCT03079310,2017-03-14 00:00:00,old
187,NCT04171076,2019-11-20 00:00:00,old
188,NCT04682678,2020-12-24 00:00:00,old
189,NCT02381951,2015-03-06 00:00:00,old
190,NCT04683861,2020-12-24 00:00:00,old
192,NCT04546529,2020-09-14 00:00:00,old
194,NCT02199015,2014-07-24 00:00:00,old
195,NCT02978924,2016-12-01 00:00:00,old
246,NCT02539784,2015-09-03 00:00:00,old
247,NCT01537224,2012-02-23 00:00:00,old
253,NCT03793491,2019-01-04 00:00:00,old
293,NCT00558766,2007-11-15 00:00:00,old
297,NCT03497884,2018-04-13 00:00:00,old
343,NCT04370665,2020-05-01 00:00:00,old
374,NCT02177149,2014-06-27 00:00:00,old
437,NCT02469350,2015-06-11 00:00:00,old
439,NCT01953718,2013-10-01 00:00:00,old
441,NCT01998204," November 28, 2013",old
442,NCT01992692,2013-11-25 00:00:00,old
468,NCT02216435,2014-08-15 00:00:00,old
469,NCT01682668,2012-09-11 00:00:00,old
516,NCT04112381,2019-10-02 00:00:00,old
535,NCT01020682,2009-11-25 00:00:00,old
541,NCT01905995,2013-07-23 00:00:00,old
543,NCT01602276,2012-05-18 00:00:00,old
562,NCT04057911,2019-08-15 00:00:00,old
567,NCT03907319,2019-04-08 00:00:00,old
582,NCT01888926,2013-06-28 00:00:00,old
593,NCT01432899,2011-09-13 00:00:00,old
606,NCT03041714,2017-02-03 00:00:00,old
623,NCT03206112,2017-07-02 00:00:00,old
627,NCT00579033,2007-12-21 00:00:00,old
628,NCT04197947,2019-12-13 00:00:00,old
652,NCT04061135,2019-08-19 00:00:00,old
661,NCT02614989,2015-11-25 00:00:00,old
665,NCT03998787,2019-06-26 00:00:00,old
682,NCT01210534,2010-09-28 00:00:00,old
704,NCT03608228,2018-07-31 00:00:00,old
713,NCT05580302,2022-10-10,new
714,ACTRN12622000775718,2022-05-31,new
715,ChiCTR2200059423,2022-04-29,new
716,IRCT20170703034879N3,2021-07-31,new
719,ChiCTR2100042452,2021-01-21,new
724,JPRN-UMIN000040073,2020-04-06,new
728,NL-OMON45367,2017-05-03,new
729,NL-OMON45276,2017-04-06,new
733,NL-OMON39613,2014-02-24,new
738,NCT01174771,2010-07-28,new
740,NCT00342108,2006-06-20,new
743,IRCT20160307026950N6,2018-07-03,new
744,IRCT20130812014333N95,2018-06-15,new
745,NCT04784494,2021-03-02,new
746,NL-OMON22331,2013-03-19,new
747,NCT00350402,2006-07-05,new
748,JPRN-jRCTs032210506,2021-12-22,new
750,NCT04361006,2020-04-19,new
754,JPRN-UMIN000004150,2010-09-02,new
755,NCT06234995,2024-01-23,new
756,NCT06223399,2024-01-02,new
757,NCT06232629,2023-12-26,new
758,NCT06205043,2023-11-28,new
759,NCT06169852,2023-11-15,new
760,NCT06127771,2023-11-06,new
761,NCT06122675,2023-11-02,new
762,DRKS00032906,2023-10-20,new
763,NCT06090682,2023-10-14,new
764,NCT06090929,2023-10-07,new
765,NCT06095245,2023-09-26,new
766,NCT06078397,2023-09-20,new
767,NCT06013956,2023-08-22,new
768,DRKS00032470,2023-08-14,new
769,NL-OMON54196,2023-08-09,new
770,NCT05997667,2023-08-07,new
771,DRKS00032400,2023-07-31,new
772,NCT05959161,2023-07-17,new
773,NL-OMON53748,2023-07-14,new
774,NCT05976074,2023-07-03,new
775,NCT05962489,2023-06-28,new
776,NCT05933681,2023-06-27,new
777,NCT06012461,2023-06-18,new
778,NCT05968976,2023-06-09,new
779,NCT05909839,2023-06-09,new
780,NCT05910008,2023-06-08,new
781,DRKS00032006,2023-06-05,new
782,NCT05901350,2023-06-04,new
783,NCT05897775,2023-06-01,new
784,NCT05905302,2023-05-19,new
785,NCT05893186,2023-05-12,new
786,DRKS00031878,2023-05-12,new
787,NL-OMON53528,2023-04-24,new
788,NCT05833308,2023-04-17,new
789,NCT05843084,2023-04-11,new
790,NCT05822388,2023-04-10,new
791,NL-OMON54430,2023-04-06,new
792,NCT05774041,2023-03-07,new
793,NCT05763732,2023-02-28,new
794,NCT05752656,2023-02-21,new
795,NCT05753449,2023-02-07,new
796,NCT05713721,2023-01-27,new
797,NCT05765110,2023-01-11,new
798,NCT05715138,2023-01-10,new
799,NCT06008717,2022-12-23,new
800,NL-OMON53065,2022-12-16,new
801,DRKS00030833,2022-12-14,new
802,NCT05658302,2022-12-12,new
803,NL-OMON51271,2022-12-09,new
804,NCT05656586,2022-12-05,new
805,DRKS00030402,2022-10-28,new
806,NCT05596201,2022-10-20,new
807,NL-OMON52786,2022-10-17,new
808,NCT05535556,2022-09-07,new
809,NL-OMON51791,2022-08-18,new
810,NCT05506085,2022-07-19,new
811,NCT05795218,2022-07-05,new
812,NL-OMON52442,2022-07-01,new
813,NCT05444907,2022-06-28,new
814,NCT05453331,2022-06-27,new
815,DRKS00029222,2022-06-20,new
816,NCT05416905,2022-06-09,new
817,NCT05415774,2022-06-08,new
818,DRKS00029073,2022-05-27,new
819,NCT05397340,2022-05-18,new
820,NCT05371041,2022-05-06,new
821,ChiCTR2200059544,2022-05-04,new
822,NCT05382858,2022-05-01,new
823,NCT05348837,2022-04-21,new
824,NCT05353764,2022-04-19,new
825,NCT05362448,2022-04-11,new
826,NCT05402163,2022-04-04,new
827,JPRN-UMIN000047342,2022-03-31,new
828,IRCT20220227054136N1,2022-03-21,new
829,NCT05314322,2022-03-16,new
830,NCT05320523,2022-03-14,new
831,NCT05307055,2022-03-14,new
832,ISRCTN17008820,2022-03-02,new
833,NCT05292794,2022-02-23,new
834,NCT05262348,2022-02-21,new
835,NCT05284526,2022-02-17,new
836,NL-OMON49897,2022-02-11,new
837,NCT05269862,2022-01-17,new
838,NCT05204680,2021-12-23,new
839,NCT05182892,2021-12-22,new
840,DRKS00026596,2021-12-22,new
841,NCT05193825,2021-12-21,new
842,NCT05166655,2021-12-16,new
843,NCT05219019,2021-12-14,new
844,NCT05177900,2021-12-02,new
845,NCT05150093,2021-11-27,new
846,NCT05096572,2021-10-25,new
847,NCT05184270,2021-10-15,new
848,NCT05097001,2021-10-01,new
849,NCT05103384,2021-09-30,new
850,NCT05101161,2021-09-23,new
851,DRKS00026263,2021-09-21,new
852,DRKS00026257,2021-09-20,new
853,NCT05065151,2021-09-17,new
854,NCT05089682,2021-08-16,new
856,NCT05022147,2021-08-09,new
858,NCT04957095,2021-06-29,new
859,NCT04953637,2021-06-21,new
861,NL-OMON20579,2021-06-14,new
864,NL-OMON55259,2021-05-19,new
867,NCT05381688,2021-04-27,new
869,NCT05493670,2021-04-09,new
870,ChiCTR2100044689,2021-03-25,new
871,ChiCTR2100044692,2021-03-25,new
874,NCT04810325,2021-03-01,new
875,NCT04768023,2021-02-14,new
884,NCT04677621,2020-12-17,new
891,NL-OMON50175,2020-11-10,new
892,ChiCTR2000039697,2020-11-06,new
898,JPRN-UMIN000040832,2020-10-01,new
899,NCT05394688,2020-09-28,new
906,DRKS00017721,2020-07-09,new
917,NL-OMON50651,2020-04-14,new
933,NL-OMON47557,2019-12-09,new
942,NCT04080674,2019-09-02,new
952,RBR-9msccy,2019-06-10,new
963,NCT03778060,2018-12-07,new
974,NL-OMON46561,2018-07-05,new
983,IRCT20101026005026N8,2018-05-07,new
985,DRKS00014614,2018-04-20,new
989,NL-OMON46346,2018-02-07,new
993,JPRN-UMIN000030592,2017-12-27,new
998,JPRN-UMIN000029958,2017-11-20,new
1001,NCT03347240,2017-11-12,new
1004,JPRN-UMIN000028596,2017-08-29,new
1007,NL-OMON19892,2017-08-09,new
1008,DRKS00012379,2017-07-31,new
1009,NCT03234478,2017-07-25,new
